"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IGFBP3",22647.6510341148,5.35873969466299,0.113661704794252,47.1463955636004,0,0
"BNIP3L",7798.61597408261,2.70123075438927,0.0776416254806609,34.7910123940166,3.32610861904074e-265,2.98368573671049e-261
"ARRDC3",1865.27731041726,4.1308152920998,0.147657820684074,27.9755943367066,3.21973551010566e-172,1.92550915956019e-168
"LAMB3",2770.06169964849,2.62959473024797,0.102017316381147,25.7759645472689,1.64957240799794e-146,7.39874464297276e-143
"CAV1",1405.58385311595,3.13684210126449,0.122440687501176,25.6192787322789,9.30417090162665e-145,3.33852260292167e-141
"GPRC5A",1985.39465910939,2.89995584752172,0.113417621612012,25.5688296607217,3.39070923982531e-144,1.01387857452843e-140
"STC2",6774.23411675986,2.78090818581846,0.110370163323659,25.1961952585273,4.4093702906829e-140,1.13012160550203e-136
"EGLN3",1701.09867934051,3.15259897164745,0.125148795528265,25.1908055394383,5.05173143081793e-140,1.13291392000381e-136
"DKK4",2882.55829009474,-3.72331325644743,0.152165641322881,-24.4688171658075,3.17361505316879e-132,6.32642529654458e-129
"ERRFI1",2714.04001492723,2.75004920900481,0.113530404567933,24.2230195467969,1.27296289409616e-129,2.28382272829792e-126
"NDRG1",18762.8798615316,2.0901141476097,0.0873175798629331,23.9369225634821,1.26445296857614e-126,2.06232279174769e-123
"CHI3L1",1541.2677145247,-2.30520558240551,0.102565855405797,-22.4753703197334,7.22981583643672e-112,1.08091771601259e-108
"PSG1",1658.70957786056,2.509437327172,0.11267184461282,22.2720887884219,6.89129640265408e-110,9.51051913538591e-107
"EHD2",673.374686683485,6.22028420107076,0.296451206758667,20.9824890547149,9.47993495734733e-98,1.21485366478406e-94
"SLC2A3",60807.6170316158,1.79035744480277,0.0854874689774075,20.9429225852496,2.17687768980462e-97,2.60369084218564e-94
"LBH",4756.69103622714,2.1175113067203,0.10169247496899,20.8226941803315,2.69593328546454e-96,3.02298369215746e-93
"CCN1",3325.63842093385,2.01052523350279,0.0999767722322236,20.1099234213402,6.04170328973067e-90,6.37612933653282e-87
"KLF4",688.297305001534,2.66847876533927,0.137045176756811,19.4715263133597,1.91480231440779e-84,1.90852601793279e-81
"DDIT4",2415.10393101978,3.12536373319375,0.162276015041485,19.2595543610975,1.17384410194799e-82,1.10841773858152e-79
"ALPP",522.986326312076,3.50643676546208,0.186054544115772,18.8462839331686,3.15223046340974e-79,2.82770833720171e-76
"BHLHE40",5636.82251607018,2.38081065109333,0.129383954848753,18.4011275113398,1.28659604628337e-75,1.09918188887476e-72
"AK4",3254.97407173613,1.47459867101275,0.0813696106471528,18.1222284251442,2.12798926438034e-73,1.73537524510217e-70
"P4HA2",3263.71610923432,1.48781163555345,0.0848568741145585,17.5331892799265,7.99562382079912e-69,6.23693421604161e-66
"CCNG2",991.41491132696,2.49784451560742,0.144701404688747,17.2620612839265,9.0810574550374e-67,6.78846882503442e-64
"SIGLEC6",825.412947232571,5.88280277402253,0.342648896671984,17.1686027042839,4.56271941359017e-66,3.27438995996885e-63
"PFKFB4",1443.83485667629,1.8380570429001,0.107485778526705,17.100467318506,1.47219094457404e-65,1.01586837448472e-62
"PSG5",252.313894671331,4.61249162402424,0.272678978926393,16.915464632385,3.46076480486415e-64,2.2996141245951e-61
"INHBB",601.411085940487,2.52327963116625,0.149762631587745,16.8485262606238,1.07561816268873e-63,6.89202337742802e-61
"SIGMAR1",4347.37606726661,-1.34861819271677,0.0812551372387959,-16.5973283480329,7.28626271027532e-62,4.50768411327757e-59
"NRN1",486.605660362255,2.63847421008944,0.161442986351733,16.3430711343572,4.87350598195738e-60,2.91451902740991e-57
"CITED2",969.378556069948,1.71593442818417,0.105329046524687,16.2911797343765,1.14008601610192e-59,6.5981558757692e-57
"TNFRSF1B",4298.88175265989,-1.2656769363767,0.0787695502532971,-16.0680990599375,4.26980456487537e-58,2.39389261557591e-55
"LYPD5",661.992192414839,3.52049384827053,0.219900964478012,16.0094516030308,1.09773071795558e-57,5.96799600328519e-55
"LOXL4",3503.78628239274,1.73095902316872,0.108545133400535,15.9469058532678,2.99365965840314e-57,1.57968376268855e-54
"NR2F1",2222.64856690695,1.70757164861271,0.107428243217969,15.8949974183985,6.86312887391097e-57,3.51803986076676e-54
"CDCA7",1527.58715046874,-1.49153736448149,0.0941709174345049,-15.8386198745366,1.68478093275135e-56,8.39629297624775e-54
"GABARAPL1",6215.31713774726,1.72028441536651,0.109684435835219,15.6839427788181,1.94779121645611e-55,9.44468167957814e-53
"FAM107B",2659.25429211755,1.53556780880465,0.0979860645924837,15.6712876998475,2.37714038965718e-55,1.12232304554841e-52
"MOB3A",1503.74547995927,1.84024513174414,0.11751366112203,15.6598400064583,2.84612305845328e-55,1.30928958440283e-52
"TIMP3",3772.78983020156,2.03056541103227,0.130727452256338,15.5328156097666,2.08041146891597e-54,9.33116554095536e-52
"DEPDC7",950.628152442226,-2.22083525739746,0.143151728294623,-15.5138557099828,2.79574336007098e-54,1.2233763810496e-51
"TRIB2",4099.28335669015,2.01709750462519,0.130517041715345,15.4546676672648,7.01725701460565e-54,2.92782809532651e-51
"NEDD9",2096.06798401156,2.45132214255887,0.158605024239519,15.4555138105649,6.9257121347234e-54,2.92782809532651e-51
