"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DKK4",2882.55829009474,-4.02996174799027,0.152524183130797,-26.4217887633882,7.70011985920376e-154,1.22655209237257e-149
"NGFR",8798.71150248998,2.527976798935,0.0983193945220448,25.7118833087218,8.60807195793354e-146,6.85589891089617e-142
"CHI3L1",1541.2677145247,-1.87014188162285,0.100763851606912,-18.5596506266792,6.81463767074073e-77,3.6183454485743e-73
"ASB4",3706.20088546168,1.81951364895333,0.0993091931094302,18.3217040838141,5.55460250228857e-75,2.21198158147387e-71
"NTSR1",1019.15635269276,-1.94284336452773,0.112505154533041,-17.2689275668444,8.06267842830526e-67,2.56860809368949e-63
"NDRG1",18762.8798615316,-1.26625808914771,0.0883105148841628,-14.3387012385634,1.2537987932363e-46,3.32862682957683e-43
"FGF19",2205.46108541647,-1.49234305952173,0.108926237884403,-13.7004920807553,1.00838574847461e-42,2.29465379820745e-39
"CDH11",746.620603380351,4.83408027874058,0.354736081406394,13.6272584947527,2.75745760262902e-42,5.4904427690347e-39
"MAOB",872.384358488278,1.47547761147429,0.108382178686244,13.6136552093649,3.32204417843465e-42,5.87964907980951e-39
"TGFBI",14971.153109618,-0.970423981190598,0.0741198422821974,-13.0926341895857,3.62803605819477e-39,5.77909863709845e-36
"PIP5K1B",1255.36338849535,1.85953400989919,0.14394843108057,12.9180568064571,3.56019397277084e-38,5.15548452656971e-35
"CCR7",594.843335240821,-1.63275502928427,0.134048879862123,-12.1802959559501,3.95842832495064e-34,5.2544837323449e-31
"ARSD",570.829192495405,1.55110184253121,0.131385295120708,11.8057491982353,3.64529550535865e-32,4.46660862345061e-29
"VIL1",227.74054264875,2.92703244619539,0.250576163786385,11.6812086272127,1.59018217141204e-31,1.80928655774446e-28
"EEPD1",1071.93798494831,-1.34159396548797,0.115501980320054,-11.615333016546,3.4444371227552e-31,3.42915243302297e-28
"UCP2",3221.72994679838,1.17891562597021,0.10145399862554,11.6201987298845,3.25378506591284e-31,3.42915243302297e-28
"FAM131B",430.601607418557,4.05143109120319,0.35192218080817,11.5122925241578,1.14396291743758e-30,1.07189325363901e-27
"NTM",719.427094325406,2.04597684519855,0.17947019755918,11.400092455595,4.17675282636049e-30,3.69619420950534e-27
"MYO1F",297.333088747623,2.4433971621992,0.216147246208175,11.3043177975348,1.24921225964919e-29,1.04730010968168e-26
"HNF4A",374.948671291418,2.41615269005421,0.214647172621793,11.2563918757573,2.15398344299868e-29,1.7155401131763e-26
"ESM1",339.717554502738,2.48792148356349,0.221169743783294,11.2489232975791,2.3443633437947e-29,1.77825541444314e-26
"MAL2",1038.60495385505,-1.5126429557124,0.136373064070911,-11.0919481498623,1.37265360414059e-28,9.93863602743432e-26
"H2AC6",366.088703896068,-1.57867648161497,0.144778558319252,-10.9040765424244,1.10206559122718e-27,7.6325229576773e-25
"RASGRF1",1071.25431237659,-1.01871233501552,0.0951572344987709,-10.7055689499749,9.5840103773932e-27,6.36098755422901e-24
"MKNK2",3648.15409088583,-0.847445478873382,0.079258707068407,-10.692143617003,1.10780496981156e-26,7.05849014565134e-24
"SLC7A7",1049.83214207504,1.32696788286389,0.12505478546181,10.6110923941342,2.6463675353586e-26,1.62130724887412e-23
"NCALD",864.05672434996,1.60664805254946,0.152915463104196,10.5067729576485,8.03976539467292e-26,4.74316381376833e-23
"AFAP1-AS1",48.3851068490848,-3.89930658548702,0.372355644638542,-10.4719953668816,1.16168103958357e-25,6.60872045697382e-23
"PCSK9",1776.57712505002,-1.52547378258977,0.14667600557387,-10.4002953763388,2.47165828614092e-25,1.35762223585996e-22
"ZC4H2",187.743515728488,2.68398059727049,0.260823325965118,10.2904162706269,7.78391280719274e-25,4.13299823685911e-22
"GABARAPL1",6215.31713774726,1.12998905730726,0.109965658976102,10.2758358184607,9.05560624294231e-25,4.65312102722026e-22
"GPR35",228.235674145992,1.75571805197084,0.175863728542643,9.98340059385875,1.80183403097262e-23,8.9691919623009e-21
"FSTL4",145.922143277809,-1.97630425006923,0.198115112499894,-9.97553505702542,1.95047319720096e-23,9.41487501764062e-21
"NR2F1",2222.64856690695,1.07930822897243,0.108385361607764,9.95806272140638,2.32549909017541e-23,1.08949632374718e-20
