"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DKK4",2882.55829009474,-5.8251606563317,0.160167057516744,-36.3692805914396,1.30282643220504e-289,2.12777612907727e-285
"NTSR1",1019.15635269276,-3.47341041627468,0.12771890785322,-27.1957416067671,7.29354787794714e-163,5.95591119713164e-159
"VAT1L",514.520599064512,-4.61273366129686,0.196518802610056,-23.4722255582317,7.84031439283582e-122,4.26826715545982e-118
"NGFR",8798.71150248998,2.15547766712246,0.0984188556258201,21.9010641143542,2.53784308250945e-106,1.03620133058861e-102
"UCP2",3221.72994679838,2.0933446701321,0.1004092404365,20.848127732387,1.58504184727442e-96,5.17738068993716e-93
"FGF19",2205.46108541647,-2.20144062090081,0.110487200946699,-19.9248474215835,2.47800462836963e-88,6.74512859842214e-85
"ASB4",3706.20088546168,1.92377267420978,0.0992213507496526,19.3886966834758,9.61422717994146e-84,2.24313654718291e-80
"CHI3L1",1541.2677145247,-1.92626501835383,0.100723611042993,-19.1242648908965,1.58593425713428e-81,3.23768478593963e-78
"NDRG1",18762.8798615316,-1.67997823134043,0.0886049921904672,-18.960311262475,3.62989593718912e-80,6.58705116068585e-77
"ADAMTSL2",609.82190323374,-2.52406122238985,0.14264558371671,-17.6946327858462,4.61227083383772e-70,7.53276072582376e-67
"PIP5K1B",1255.36338849535,2.38906443286802,0.143258705612664,16.6765741924784,1.94031836036194e-62,2.88084358740284e-59
"NR2F1",2222.64856690695,1.73794808529905,0.107042046738298,16.2361253195025,2.80064454110672e-59,3.81167722044624e-56
"CCR7",594.843335240821,-2.21227844124915,0.137550022676154,-16.08344657607,3.33308207854199e-58,4.18737665436521e-55
"EN2",1532.5508048625,-1.49676688616237,0.0963961810643347,-15.5272425695311,2.26929931611867e-54,2.64729974506072e-51
"NET1",4908.09294104535,-1.08320887347571,0.0699742962321484,-15.4800967184012,4.72761558858696e-54,5.14742785285349e-51
"CDH11",746.620603380351,5.44855373746148,0.353983652526888,15.3921055352906,1.84915757610458e-53,1.88752759580875e-50
"NCALD",864.05672434996,2.28583035682797,0.151272866268168,15.1106435226511,1.37787511696521e-51,1.32373273001623e-48
"INSIG1",4048.93565004697,-1.18805755268532,0.0805770705153321,-14.7443626963238,3.34462160097862e-49,3.0346866659546e-46
"EEPD1",1071.93798494831,-1.67983531122073,0.116353738364214,-14.4373127570896,3.01364637679097e-47,2.59046698030264e-44
"BMP4",5286.72914270551,1.92567498427485,0.134349405319368,14.3333346336535,1.35457060645465e-46,1.10614235723087e-43
"PTPRN2",2876.56044793997,-1.76977695524068,0.123777921863415,-14.2980018455437,2.25182631657049e-46,1.75127749534425e-43
"ACSS1",1789.43895689854,1.26709712767824,0.0888110391438536,14.2673381585575,3.49672659100493e-46,2.59584266746784e-43
"H2AC6",366.088703896068,-2.12020922220551,0.149172699624717,-14.2131182685535,7.59660729920273e-46,5.39425175698169e-43
"EMP1",3753.93212955476,-1.59550300496258,0.115334210640631,-13.8337358542644,1.5951610688891e-43,1.08550710737903e-40
"LOC105374985",177.520025376778,-2.98887635752157,0.216210116765953,-13.8239431263849,1.82777192092036e-43,1.19404684049885e-40
"MAOB",872.384358488278,1.49215963734073,0.108093278966209,13.8043701848215,2.39859650680404e-43,1.50668762112014e-40
"NT5E",1614.94563524233,-1.93090143658617,0.141434166996265,-13.6522982925134,1.95610497116987e-42,1.10162435824643e-39
"FGF3",771.677534733199,-3.16870116038316,0.232078823846717,-13.6535557525749,1.92263393446675e-42,1.10162435824643e-39
"MYO1F",297.333088747623,2.92402376436371,0.21416148280543,13.6533597267826,1.92781401027205e-42,1.10162435824643e-39
"ANO1",7834.31883994232,-2.70972692496618,0.199599753209053,-13.5758029827227,5.572958505092e-42,3.03391861017208e-39
"NTM",719.427094325406,2.4024602100045,0.177624889643463,13.5254705285212,1.10633502974499e-41,5.8286011954178e-39
"PPME1",15402.1927411214,1.74874225467783,0.133431836100372,13.1058846658032,3.04688562459265e-39,1.55505425065147e-36
"DKK3",1545.46076235766,1.14514322989761,0.0876041552617418,13.0717912463876,4.77282521941923e-39,2.36211459041075e-36
"SLC1A3",1097.24514316048,2.2696614975458,0.173697095919977,13.066778609767,5.09790246306666e-39,2.44879244196484e-36
"SPTLC3",265.845640328052,2.7617066983022,0.217293782668128,12.7095523138835,5.23331818507395e-37,2.44201578853222e-34
"RASGRF1",1071.25431237659,-1.21319624859463,0.0956849946973988,-12.6790648045844,7.72480148948841e-37,3.50448494239791e-34
"ALDH1A3",3256.58253997218,-1.0340384789279,0.0817208514883838,-12.653300352296,1.07272034550232e-36,4.73504558993079e-34
"CDH13",1218.07574638257,-2.15314109902448,0.17134482065048,-12.5661288788915,3.24214105252758e-36,1.3934380965758e-33
"PRSS23",2263.44594859148,1.59897400425789,0.128049072592313,12.4871970713037,8.76888218601936e-36,3.67213804774534e-33
"CXCL14",1081.07831136118,1.73872351702416,0.139667750249104,12.4489978103254,1.41612166155428e-35,5.78202474412612e-33
"CCN1",3325.63842093385,1.24921160721971,0.100492724936733,12.4308660950946,1.7769856967838e-35,7.07847082923733e-33
"IL24",158.138882968639,-3.72403814632913,0.300392416524686,-12.3972442094692,2.70466147480343e-35,1.05172693348785e-32
"GYG2",506.474631174274,1.80864500195034,0.145995294185015,12.3883787627998,3.02088824695554e-35,1.14737550812274e-32
"CDC42EP3",5808.17293854181,1.33940565059836,0.109497292507318,12.2323175297585,2.08892438215782e-34,7.75370750213672e-32
"SDC3",3409.75184219109,-1.16729807554453,0.0958063923956229,-12.1839268378283,3.78604178258844e-34,1.3740807642941e-31
"GJB2",117.862345150231,-2.72594929980648,0.224181834121888,-12.1595458904328,5.10416289653766e-34,1.81219974839681e-31
"FSCN1",1839.33048095521,-1.78624162161392,0.147126203309254,-12.1408802880565,6.4132335876198e-34,2.22853044580865e-31
"ZC4H2",187.743515728488,3.13277024783749,0.258077549215812,12.1388716583703,6.57261255915144e-34,2.23633142325128e-31
"GABARAPL1",6215.31713774726,1.32079846053765,0.109788517083356,12.0303880189478,2.46001895118659e-33,8.19939377771007e-31
"NTRK2",1581.88579444211,2.33669212216362,0.195085057689368,11.9778118828778,4.64420088006713e-33,1.51698177546513e-30
"FYN",1911.89561170273,-1.01297605368015,0.0846552225534376,-11.9659014899019,5.36121313586768e-33,1.71684966539198e-30
"CCN2",1686.90354606544,1.64892682823957,0.138862326833237,11.8745441318998,1.60506633425589e-32,5.04114295597447e-30
"MKNK2",3648.15409088583,-0.941170879537161,0.0792875183783566,-11.8703536040305,1.68752850670158e-32,5.20013501348116e-30
"LOC107986453",345.383560010077,2.01477732524708,0.172692965575925,11.6668175714504,1.88337473298031e-31,5.69616224796934e-29
"SORCS2",111.346533090618,-4.70645531779528,0.403624298187705,-11.6604856023969,2.02881990624769e-31,6.02448849251588e-29
"BCAR3",1658.69042267341,-1.06278829897064,0.0916350353923385,-11.5980562938648,4.21543732101371e-31,1.22940218440707e-28
"TGFBI",14971.153109618,-0.857264810583501,0.074003057472144,-11.5841809766602,4.95681630939433e-31,1.39577110284531e-28
"APOBEC3B",1032.6857457589,-1.34215752825649,0.11585181086711,-11.585123428032,4.90259916479864e-31,1.39577110284531e-28
"OLR1",287.661172589032,2.50514755278804,0.216526402593979,11.5697093877535,5.86810934770024e-31,1.6243722350278e-28
"SAA2",1007.70358507721,2.09172939746728,0.182363904936961,11.4700844895285,1.86477127663348e-30,5.07590741499633e-28
"MAGEC2",2103.00154272761,1.28467624591738,0.113938121082943,11.2752100324893,1.73962965069774e-29,4.65764450085171e-27
"PCSK9",1776.57712505002,-1.65077740526095,0.146766425653224,-11.2476501210254,2.37844375868227e-29,6.26528120432238e-27
"FAM107B",2659.25429211755,-1.12516298586764,0.10145648837738,-11.090103785994,1.40125096583461e-28,3.63257631333506e-26
"GABRA3",421.976759949789,2.34636025232193,0.211769189297455,11.0797999468477,1.57223461846596e-28,4.01214621699781e-26
"AFF3",268.954844553336,3.15397130619092,0.287595997414427,10.9666731614697,5.5268694171699e-28,1.38868971263413e-25
"CABLES1",350.734207520107,-1.54553263781922,0.141481178212348,-10.923945201386,8.85633875674817e-28,2.19154128144259e-25
"H2BC12",3481.86482341804,-1.94008877208016,0.178518342600813,-10.8677278973983,1.6424006301587e-27,4.00353538682864e-25
"LOC389602",346.36500691713,-1.93207666853706,0.179565222704486,-10.7597486831663,5.33153652317643e-27,1.28050962494879e-24
"MOB3A",1503.74547995927,-1.33741269839368,0.124677327720502,-10.7269920108638,7.60309097076891e-27,1.79961857586374e-24
"SLC25A48",673.480584862517,1.34785904802062,0.126305021852669,10.671460471246,1.38433181262989e-26,3.22984388055305e-24
"ESRP1",565.124516766236,-1.5882539207097,0.148932608119562,-10.6642456662993,1.4960809282222e-26,3.44140756615845e-24
"ARHGEF16",369.136683972922,-1.53563682359158,0.146594029854929,-10.4754390414894,1.12016612515523e-25,2.54091016056045e-23
"ERRFI1",2714.04001492723,-1.26055093787041,0.120442513873997,-10.4659965765009,1.23767229845246e-25,2.76899506552405e-23
"CPLX2",1162.65995788162,-1.26453203760295,0.121572315990025,-10.4014801997085,2.44111323867321e-25,5.38760289378526e-23
"LFNG",547.380051884117,1.72104532752436,0.16560286118495,10.3926062340327,2.67930005520282e-25,5.83444380020967e-23
"DUSP5",1601.04002294187,-1.69705002229217,0.164301511172208,-10.3288765281864,5.21679942363006e-25,1.12106273929903e-22
"SLC44A2",1007.57513953544,1.19724829258825,0.116072266838259,10.3146800282323,6.04824356097944e-25,1.28285602386904e-22
"CYP51A1",5531.23369931872,-1.1555214491653,0.112528993135998,-10.2686553657223,9.75548574681708e-25,2.04264863098739e-22
"ARSD",570.829192495405,1.34880409961428,0.131928437828376,10.2237555588198,1.55208572709805e-24,3.20869165759055e-22
"ESM1",339.717554502738,2.26477880781453,0.221691316856507,10.215911204499,1.68290450517939e-24,3.43564954732372e-22
"UBE2J1",4125.46556336694,-0.936435159514784,0.091711867628722,-10.2106214138585,1.77722944661363e-24,3.58342115087577e-22
"C1S",190.785585253417,3.25207512539529,0.31897921701681,10.1952570948342,2.08192951374753e-24,4.14659424616155e-22
"HAS2",486.690372340744,1.70053606083535,0.167966526358252,10.1242556937108,4.31247201394941e-24,8.48569794359299e-22
"CD99L2",1440.84085145278,0.94437226005073,0.093373854131962,10.1138832581129,4.79453448205255e-24,9.32194490010502e-22
"ENAH",501.96087261689,-1.81207568461277,0.179426875354736,-10.0992433883174,5.56700314798964e-24,1.0696505342702e-21
"FSTL4",145.922143277809,-1.98964779856697,0.197148969604332,-10.0921034614591,5.9872561103222e-24,1.13702170690444e-21
"PNRC2",1998.77509731216,-0.885392118201444,0.087796295830981,-10.0846181472842,6.46159274349799e-24,1.21299692743459e-21
"DTX4",417.470294148809,2.10499063531809,0.209732333866563,10.0365575326947,1.05284483371839e-23,1.95398429821464e-21
"OAF",795.893122512591,-1.05016619414667,0.10591638284411,-9.91504964526902,3.58078394342654e-23,6.57093970382497e-21
"PFKFB4",1443.83485667629,-1.14187462727426,0.116671283468546,-9.78710950396033,1.27899924378816e-22,2.32095729439424e-20
"H2BC11",227.378072198143,-1.70981051143689,0.17496436482177,-9.7723357163535,1.47999998398635e-22,2.65619337785331e-20
"EFHD2",3860.28751908385,-1.52107497524495,0.155691325050326,-9.76981199661103,1.51733372534338e-22,2.69359721764218e-20
"SQLE",3221.61577908559,-0.853984590631788,0.0876240526106484,-9.74600654943923,1.91867899130739e-22,3.36944788021852e-20
"TNS1",489.500310377178,2.0204470074511,0.20913359512005,9.6610351210732,4.41381295626241e-22,7.66876523422104e-20
"IL15RA",410.553411137095,-1.39702174537416,0.144660113644278,-9.65726979040998,4.57904615777741e-22,7.87210335250743e-20
"LAPTM5",219.845978719859,-2.42741207221849,0.251640450401903,-9.64635084836952,5.09360829264587e-22,8.66550110786379e-20
"DUSP7",817.138434540966,-1.01319796699886,0.105278569609618,-9.62397162837496,6.3337279437327e-22,1.06641695646435e-19
"LOC105372926",1252.84371155266,1.36706382389179,0.142584034434164,9.58777628446902,9.00038527798065e-22,1.49994175877531e-19
"ZNF853",347.537731589582,1.44027033890493,0.150433524016046,9.57413148648504,1.02716971293896e-21,1.69451876279991e-19
"EIF4B",11574.0507411372,-0.5836823728481,0.0609913861289892,-9.56991486656303,1.06993739522667e-21,1.7474217538842e-19
"EHF",1486.93775200673,2.1685162431596,0.226965982659473,9.55436677228024,1.24341974938335e-21,2.01064666801276e-19
"PHC2",5000.68952277269,-1.07139713680638,0.112155292076018,-9.55280055871281,1.2623675026973e-21,2.02127314255414e-19
"CACNA1E",89.7194233171063,-2.4338011770022,0.255641213275192,-9.52037875982958,1.72549004422502e-21,2.73599062158088e-19
"SHH",397.536933218191,-1.59943793850184,0.16850141118196,-9.49213378856899,2.26352614902296e-21,3.55460664094643e-19
"EPHB3",412.997765508677,1.33914133826014,0.14127311029233,9.47909574220539,2.56496094326188e-21,3.95508154178772e-19
"H2BC4",255.615066912544,-1.95373895335334,0.206112049536918,-9.47901375850127,2.56697675379316e-21,3.95508154178772e-19
"FIBCD1",379.347237069924,-1.65315068000195,0.1758397367191,-9.40146243873659,5.38098794387066e-21,8.2132986074108e-19
"AFAP1-AS1",48.3851068490848,-6.54970736799541,0.697216703236422,-9.39407695999279,5.77216962928972e-21,8.72880318384812e-19
"HNRNPF",8821.11033419153,-0.582814455657251,0.0620943394448155,-9.38595145496653,6.23509223116265e-21,9.3423418641604e-19
"APLP1",598.443019184318,1.3307700183734,0.142118242222664,9.3638226701989,7.69028444416557e-21,1.14179750492829e-18
"MAL2",1038.60495385505,-1.25698074964969,0.13516974892831,-9.29927561170769,1.4140577111933e-20,2.08057572425306e-18
"GPER1",165.793163601465,-1.96627604940652,0.211719866439351,-9.2871589354123,1.58461507823563e-20,2.31070834444146e-18
"TRIB1",5088.6134774625,-0.734412805565219,0.0791422892602798,-9.27965077115615,1.70034957409319e-20,2.45753179151238e-18
"HPGD",2233.87764573138,1.05998972513881,0.114912970044115,9.22428273093873,2.85465019355809e-20,4.08966201413954e-18
"VGF",1092.91353860714,-1.64728437825719,0.179020074237903,-9.20167408749973,3.52415810053985e-20,5.00491739982755e-18
"SPARC",1368.98706230256,-1.0692611231401,0.117372633328196,-9.10996961404313,8.2405047592651e-20,1.16020623903722e-17
"CABYR",290.737934003138,1.4833621089596,0.164314501022389,9.02757881824129,1.7551189037216e-19,2.44996597740011e-17
"SRGAP1",236.834543656445,1.92868976635052,0.219760515661025,8.77632526729902,1.68902864928696e-18,2.33773016103005e-16
"ZNF367",1938.8734357496,-0.829895946511944,0.0946014203271236,-8.77255271265732,1.74660707737652e-18,2.39710813342128e-16
"TLE1",713.01221562678,1.07434018203474,0.122653711219633,8.75913310206288,1.96757675770144e-18,2.67787196723166e-16
"KCND3",372.530217106603,1.91468862071976,0.218877258302728,8.7477732294671,2.17604004413368e-18,2.93711454551994e-16
"H4C8",70.8677230170605,-2.95973902338601,0.339398886233205,-8.72053251628036,2.7689641232912e-18,3.7067804968518e-16
"DOC2A",264.737262083169,1.31112000030623,0.150657476783712,8.7026547125073,3.24209201938746e-18,4.3048655984257e-16
"SLC43A3",805.510901144779,-1.2607468090317,0.145050477037863,-8.69177981884611,3.56805076109795e-18,4.69946814760095e-16
