"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GPRC5A",1985.39465910939,-1.36038666056895,0.156883828832361,-8.67129946211724,4.27216502520507e-18,5.77340381506214e-14
"BHLHA15",256.271791756404,-2.34442269963216,0.281283341025869,-8.3347371055883,7.7670576280522e-17,5.24820083927487e-13
"NPTX2",1719.87723378357,1.08042700021752,0.13623742258647,7.93047152320992,2.18315368418494e-15,6.63986640393424e-12
"IFRD1",5902.69722812033,-1.0353949429815,0.1304382640644,-7.93781602667072,2.05772243906191e-15,6.63986640393424e-12
"LOXL4",3503.78628239274,-1.20796355225592,0.153259867539223,-7.88179953207102,3.2269945863244e-15,6.63986640393424e-12
"HID1",725.28169698583,-1.75867030660264,0.223356258440087,-7.8738349168505,3.43932698146661e-15,6.63986640393424e-12
"EHD2",673.374686683485,-2.84359499617447,0.359376637621578,-7.91257610676618,2.52116646447163e-15,6.63986640393424e-12
"DNAJB9",598.255075494155,-1.39411145284702,0.181209453098203,-7.69337045618423,1.43308798177345e-14,2.4208438732108e-11
"SGK1",194.277811716882,-2.05407518842238,0.267582573335404,-7.67641615378172,1.63601051069968e-14,2.45656067128839e-11
"RCAN1",1184.03911942836,-1.31065969229758,0.178771622352507,-7.33147506886291,2.27633175569206e-13,3.07623473464226e-10
"SLC6A12",195.084522504982,-4.5618216173682,0.624725096915432,-7.30212639109923,2.8325499015832e-13,3.47991630636321e-10
"LAMB3",2770.06169964849,-1.01180963110141,0.143700952818684,-7.04107809485488,1.90758047251884e-12,2.14825354213497e-09
"NGFR",8798.71150248998,-0.961870146145103,0.137415573943904,-6.999717124769,2.56479817999262e-12,2.66620635418617e-09
"ABCG1",238.159884499248,-2.15264345239265,0.308157742681334,-6.9855244708834,2.83793788678083e-12,2.73942090013972e-09
"SLC6A9",536.548513988194,-1.61283521280932,0.237853754284654,-6.78078518314721,1.19524487892793e-11,1.07683595292214e-08
"NEAT1",22145.6791797885,-1.09367960185059,0.16153923576545,-6.77036508603137,1.28457823847924e-11,1.08498689467553e-08
"ABCA1",170.262922452303,-3.48922925451977,0.516765228347988,-6.75205889079311,1.45761683936807e-11,1.15871964513059e-08
"CCN1",3325.63842093385,-0.934804800889414,0.139249990261931,-6.71314087082543,1.90479057060614e-11,1.43007443173175e-08
"H2BC4",255.615066912544,1.86423670108018,0.27871288565465,6.6887352434438,2.25107562493846e-11,1.6011071576536e-08
"CD55",271.848376820664,-1.51794130385859,0.231278878246643,-6.56325089159164,5.26471539912291e-11,3.55736819518735e-08
"ZNF114",143.864798852279,-1.9425995213444,0.297654575697537,-6.52635531233488,6.7389351660505e-11,4.33666523019079e-08
"WARS1",4320.29447991784,-0.93604323229928,0.145808037513568,-6.41969570581579,1.36547010825715e-10,8.38771047408506e-08
"LSMEM1",158.373056080828,-1.68969717311033,0.264439589597338,-6.38972846570829,1.66180579412826e-10,9.76419282689099e-08
"H2AC6",366.088703896068,1.30581282241744,0.208974621063874,6.24866701884492,4.13970396239114e-10,2.33099830615641e-07
"ITGA10",245.044177591414,-2.98542347748685,0.480037329401862,-6.21914858414606,4.99859792145691e-10,2.70204209242275e-07
"H2BC12",3481.86482341804,1.54216850276909,0.252184714387042,6.1152338535564,9.64154696349171e-10,4.82577280239359e-07
"NFKB2",894.64848745373,-0.955956800083617,0.156218727177114,-6.11934828402357,9.39588396365001e-10,4.82577280239359e-07
"CORO6",782.235969873002,-1.41245057603255,0.231279511360325,-6.10711501301989,1.01448136773074e-09,4.8963218583976e-07
"ATF3",334.718967950678,-1.49666100807092,0.250114829480934,-5.98389552181673,2.17863090583806e-09,1.01524200212054e-06
"RTL5",286.988365880944,-1.62348695897874,0.274299185284323,-5.91867218743624,3.24551108937498e-09,1.46199456206045e-06
"IL2RG",154.01806028755,-2.48766792552744,0.421580619934882,-5.90081186822982,3.61717180165196e-09,1.57685353959757e-06
"CDH1",664.292181997309,-1.38235675930274,0.236534856434326,-5.844198948693,5.09011661476632e-09,2.1496198728735e-06
"EZR",10435.1801073997,-0.797172963653701,0.136673932744478,-5.83266280296534,5.45497365851688e-09,2.15335652837453e-06
"KLF4",688.297305001534,-1.0941157072449,0.18770303666337,-5.82897179872008,5.57699263675512e-09,2.15335652837453e-06
"ICAM1",1970.54768057925,-0.770948714102281,0.132057767711242,-5.83796566808581,5.28420421577373e-09,2.15335652837453e-06
"HSPB8",136.357091047689,-1.93349549331885,0.33298227884604,-5.80660178078977,6.37535234761462e-09,2.39323643404622e-06
"PORCN",645.198501963595,-1.18672685217403,0.204649051326777,-5.7988387655856,6.67756957448615e-09,2.43893716836773e-06
"PSG5",252.313894671331,-2.08230126611457,0.36045863707307,-5.77681057394792,7.61299116298162e-09,2.70742006780352e-06
"CHI3L1",1541.2677145247,0.87174230564101,0.151444055402329,5.75620022407035,8.60283418994228e-09,2.98099233956102e-06
"ATP8B2",171.796875362539,-1.88691157188288,0.330849744606506,-5.70322813495614,1.17559472716609e-08,3.97174678573064e-06
"MGLL",778.378322192355,-1.69233693064664,0.297214696113504,-5.69398805905732,1.24105767720765e-08,4.09064718287419e-06
"VAT1L",514.520599064512,1.27192003620286,0.223684893921164,5.68621337769522,1.29887091620344e-08,4.1792718003746e-06
"TIMP3",3772.78983020156,-1.04148821293681,0.183657114399483,-5.67082966724289,1.42107632659345e-08,4.46614545990323e-06
"LAMP3",206.1146703629,-1.5350599528875,0.276730261727485,-5.54713439471675,2.90389533283316e-08,8.91891852906985e-06
"INHBB",601.411085940487,-1.11192294659203,0.201862332859501,-5.50832307761917,3.62268082459534e-08,1.08793130363514e-05
"FOSB",155.694932180249,-1.94937240085259,0.354209325998308,-5.50344741872185,3.72435643936337e-08,1.09415115046862e-05
"DYSF",84.8470841274801,-2.23886181902246,0.407516949733694,-5.49391091704412,3.93128851335592e-08,1.13037091424451e-05
"TCHH",442.644514870913,-1.65996091680798,0.302554258263906,-5.4864900144954,4.09998587824372e-08,1.15431685747053e-05
"GRB10",609.092644066078,-0.903658945204867,0.165711090847181,-5.45321945915029,4.94659587853129e-08,1.36425095311167e-05
"TNFRSF1B",4298.88175265989,0.60408180639775,0.111036968841132,5.44036650768132,5.31710693170139e-08,1.43710766150025e-05
"ACP7",297.193968402612,-1.36900063956786,0.25180592052388,-5.43672935378034,5.42674721183748e-08,1.43798160432886e-05
"GULP1",708.971115113134,-1.35780583565053,0.25344937241737,-5.35730596884081,8.4472004120272e-08,2.19529743015645e-05
"TRIB2",4099.28335669015,-0.977332230949455,0.183564349208016,-5.32419413228184,1.01401568233375e-07,2.58554866623741e-05
"STC2",6774.23411675986,-0.829777881272213,0.156709397704332,-5.29501034033568,1.19009676146127e-07,2.97832733970141e-05
"RGS16",107.442454712487,-1.74534434876232,0.33308747525193,-5.23989785999079,1.60665498936032e-07,3.94769736840278e-05
"TRIB3",2595.47591142002,-1.16058602276695,0.223021375648252,-5.20392280512797,1.95125086197183e-07,4.70878645512273e-05
"EMP1",3753.93212955476,-0.823109998644662,0.158423715270794,-5.19562363019778,2.04034685548246e-07,4.83741182543683e-05
"UCP2",3221.72994679838,-0.726312844694325,0.140211602321663,-5.18011942426897,2.21743890981143e-07,5.16663265986062e-05
"BIRC3",136.542984201346,-2.45528041849949,0.474444447220534,-5.17506408365281,2.27832768401928e-07,5.2185288681079e-05
"JUP",5329.18988099945,-0.639419285488939,0.124100605168339,-5.15242681227528,2.57136981883317e-07,5.79158195528524e-05
