"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IFRD1",5902.69722812033,-1.18591477923076,0.130080463030598,-9.1167785815139,7.73904880524945e-20,1.13934276510882e-15
"GPRC5A",1985.39465910939,-1.46262923343439,0.162002504892047,-9.02843591467331,1.74142891890704e-19,1.28186582720747e-15
"CHI3L1",1541.2677145247,1.31909788701313,0.14769635113388,8.93114743110636,4.2161278481491e-19,2.0689944726817e-15
"FAM107B",2659.25429211755,-1.22334360590049,0.141470118135276,-8.64736399478164,5.27026563620369e-18,1.93972126740477e-14
"FSTL4",145.922143277809,2.34106135034589,0.284177533925479,8.23802401973056,1.75078042410262e-16,5.15499788072776e-13
"CCN1",3325.63842093385,-1.121132627098,0.138396555854214,-8.10087086472724,5.45671487589807e-16,1.17999087240508e-12
"EHD2",673.374686683485,-2.93646329193446,0.362638837565091,-8.09748705254822,5.61060732701778e-16,1.17999087240508e-12
"LAMB3",2770.06169964849,-1.08454459806365,0.142083003224834,-7.63317619594125,2.29039509791317e-14,4.21489957893472e-11
"SGK1",194.277811716882,-2.13806368544091,0.294724762991838,-7.25444195369534,4.03321190208674e-13,5.93769456225211e-10
"NPTX2",1719.87723378357,0.987656586624145,0.135897930874818,7.26763520434994,3.65835111996812e-13,5.93769456225211e-10
"CD55",271.848376820664,-1.65285675881477,0.23426665726519,-7.05545030654418,1.72042659417383e-12,2.3025563926752e-09
"BHLHA15",256.271791756404,-1.94523579172906,0.278311908680127,-6.98940911639098,2.7604636485699e-12,3.38662881952051e-09
"NGFR",8798.71150248998,-0.931372335910924,0.137456710211457,-6.77575023058637,1.23762331694314e-11,1.4015608055413e-08
"CCR7",594.843335240821,1.29620288157972,0.193252202384409,6.70731233893708,1.98241650624265e-11,2.08465255749317e-08
"STC2",6774.23411675986,-1.04383232326461,0.15596471399008,-6.69274668968397,2.19020087287435e-11,2.14960915003041e-08
"LOC105379051",27.3392803127879,-4.64322398392731,0.695971991737149,-6.67156730307179,2.53085841202811e-11,2.32870609636737e-08
"LSMEM1",158.373056080828,-1.78749941224254,0.269222760517479,-6.63948103350084,3.14789503349192e-11,2.726077099004e-08
"ICAM1",1970.54768057925,-0.8478014270802,0.130136719477419,-6.51469800748518,7.28360444593033e-11,5.95717914738813e-08
"RGS16",107.442454712487,-2.26636358540953,0.352630714013847,-6.42701697652048,1.30132293319488e-10,1.00831980118395e-07
"SLC6A12",195.084522504982,-3.95952356041724,0.621275195007318,-6.37322009994396,1.85099939895103e-10,1.36252065756785e-07
"GALNT6",5615.08033082353,0.726513674395518,0.11542265654307,6.29437665147156,3.08637584820815e-10,2.1636964398724e-07
"DNAJB9",598.255075494155,-1.11994135145299,0.179974104480633,-6.2227916326346,4.88385814986705e-10,3.26818907647012e-07
"ZNF114",143.864798852279,-1.89773473269165,0.30542770005783,-6.2133681140654,5.18607621296543e-10,3.31953973944683e-07
"PPP1R15A",3586.69608735709,-1.20349371176502,0.19476671167196,-6.17915505906383,6.4445576291177e-10,3.95319905899461e-07
"MYC",6079.2252858263,-0.821275887361275,0.133430191356226,-6.15509787562749,7.5031143151397e-10,4.41843395789947e-07
"HID1",725.28169698583,-1.33579706241119,0.219855351310456,-6.07579963120809,1.23371380750782e-09,6.98566718235772e-07
"EZR",10435.1801073997,-0.82708248307592,0.136544628763045,-6.05723191434512,1.38483866057263e-09,7.55096102257417e-07
"LINC-PINT",581.688686626352,-1.00429654234576,0.166574180326322,-6.02912492427295,1.64849828431991e-09,8.6675684791992e-07
"CADM1",2528.32885369767,-1.16233953102429,0.193616315696465,-6.00331396061948,1.93330261355003e-09,9.81451071609778e-07
"ABCA1",170.262922452303,-3.08894310305802,0.516008739926023,-5.98622244945087,2.14770588491372e-09,1.05395086792333e-06
"SYBU",206.919777414063,-1.40182011355183,0.2345496526789,-5.9766454460324,2.27779192765932e-09,1.08173073416131e-06
"F3",427.915198225511,-1.16191033769831,0.196210568589076,-5.92175205471067,3.1852962594897e-09,1.46543536038148e-06
"SH2D5",441.619675576617,-1.30469897911993,0.221448639516487,-5.89165497683171,3.82346839671788e-09,1.70573035565093e-06
"KRT74",809.08922227786,0.929973799339202,0.159219646335857,5.8408231693815,5.19435168976511e-09,2.24915428166829e-06
"AXL",4924.97475374323,-0.825878744203306,0.141773235520126,-5.82535018809011,5.6992965116145e-09,2.39728694982825e-06
"ABCG1",238.159884499248,-1.75708559082488,0.303179509853256,-5.79552883265539,6.81062254121796e-09,2.78516625143919e-06
"RCAN1",1184.03911942836,-1.02136125642134,0.176425126454679,-5.78920518265132,7.07202664979801e-09,2.81390206319801e-06
"COX6B2",170.365204274535,-2.25759660473324,0.393502794159882,-5.73718062041505,9.62655788334222e-09,3.72953118838327e-06
"SPNS2",126.392283616189,-1.77218656575191,0.31017281749852,-5.71354569379814,1.10646145733505e-08,4.17675014740681e-06
"CACNB1",276.23397476402,-1.17799114185229,0.207562592241294,-5.6753537770566,1.38402322830028e-08,5.09389749175918e-06
"CPLX2",1162.65995788162,0.965949376049152,0.172653196572712,5.59473786309163,2.20955352732461e-08,7.93391390957874e-06
"ARRDC3",1865.27731041726,-1.13629907689482,0.204108346277747,-5.56713675661536,2.58959156341071e-08,9.07713499917441e-06
"ATF3",334.718967950678,-1.37251690167784,0.249861808787321,-5.49310400152473,3.94930057778311e-08,1.35213030479356e-05
"NFKB2",894.64848745373,-0.861546905935801,0.157281409797118,-5.47774150198131,4.30788836079478e-08,1.44138028290047e-05
"LOC107984393",47.0159085765485,3.83466722663846,0.70103982537666,5.46997058915752,4.50110265374488e-08,1.47256073929849e-05
"PLK2",1539.43104117163,-0.743960024841942,0.136693007923572,-5.44256093375242,5.25199863666179e-08,1.68086791149858e-05
"SNAI2",129.665633332921,-1.89596635286155,0.348911961909437,-5.43393910167421,5.5123400419521e-08,1.72665255526849e-05
"SLC7A8",7921.71128232446,0.964094121928893,0.177906900003186,5.41909348041939,5.99019919639298e-08,1.83724401186036e-05
"UCP2",3221.72994679838,-0.745111296180251,0.138635372938534,-5.37461169099033,7.6747897820604e-08,2.3058827586019e-05
"PAX8",375.713680342725,-1.06461360626456,0.198243305873521,-5.3702373534054,7.86330789303507e-08,2.31527237602525e-05
"SPARC",1368.98706230256,0.883817225659395,0.164979751092949,5.357125464212,8.45564064958658e-08,2.44086160084733e-05
"TCHH",442.644514870913,-1.60603856780344,0.300706711023178,-5.34088036259241,9.24962863425511e-08,2.60653888121557e-05
"BIRC3",136.542984201346,-2.663564177805,0.49895628668501,-5.33827160591826,9.38368161285323e-08,2.60653888121557e-05
"H2AC6",366.088703896068,1.13371935566744,0.213877789448722,5.30078115446039,1.15308242355564e-07,3.14364434066409e-05
