"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"collagen fibril organization (GO:0030199)","7/89",7.92975034254013e-06,0.0104910597031806,0,0,10.8805664830842,127.791045660448,"COL27A1;LAMB3;COL5A1;COL5A3;COL8A2;LOXL4;LOXL1"
"positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862)","5/47",3.81936329235175e-05,0.0181974215566474,0,0,15.0106157112527,152.700617955045,"GDF15;BMP8A;INHBB;INHBA;INHBE"
"extracellular structure organization (GO:0043062)","9/216",6.86216770050152e-05,0.0181974215566474,0,0,5.57857345836885,53.4812375016245,"COL27A1;COL5A1;LAMB3;CDH1;ITGA10;COL5A3;SERPINE1;COL8A2;LOXL1"
"external encapsulating structure organization (GO:0045229)","9/217",7.11012869395775e-05,0.0181974215566474,0,0,5.55147058823529,53.0243446050124,"COL27A1;COL5A1;LAMB3;CDH1;ITGA10;COL5A3;SERPINE1;COL8A2;LOXL1"
"unsaturated fatty acid metabolic process (GO:0033559)","5/54",7.52310040386458e-05,0.0181974215566474,0,0,12.8616924476797,122.121089718798,"SCD;PLA2G4C;ALOXE3;MGLL;PTGS1"
"regulation of pathway-restricted SMAD protein phosphorylation (GO:0060393)","5/58",0.000106197985041417,0.0181974215566474,0,0,11.8885951207788,108.783087541021,"GDF15;BMP8A;INHBB;INHBA;INHBE"
"fat cell differentiation (GO:0045444)","5/58",0.000106197985041417,0.0181974215566474,0,0,11.8885951207788,108.783087541021,"IL11;INHBB;KLF4;ALOXE3;PPARGC1A"
"regulation of macrophage derived foam cell differentiation (GO:0010743)","4/31",0.000110037318558715,0.0181974215566474,0,0,18.5757149554618,169.311901738892,"ABCA1;CSF2;CSF1;ABCG1"
"supramolecular fiber organization (GO:0097435)","11/351",0.000140547623512207,0.0206605006562944,0,0,4.17760031164784,37.0551650777276,"COL27A1;COL5A1;LAMB3;COL5A3;CLIP4;COL8A2;CORO6;TCHH;LOXL4;CORO1A;LOXL1"
"extracellular matrix organization (GO:0030198)","10/300",0.000172648263675741,0.0228413652843005,0,0,4.43466424682396,38.4230582865842,"COL27A1;COL5A1;LAMB3;CDH1;ITGA10;COL5A3;SERPINE1;COL8A2;LOXL4;LOXL1"
"negative regulation of protein processing (GO:0010955)","3/15",0.000220964786657438,0.0245200561167935,0,0,31.1729559748428,262.398581536021,"SERPINE2;SERPINE1;CHAC1"
"negative regulation of epithelial cell apoptotic process (GO:1904036)","4/37",0.000222404137113773,0.0245200561167935,0,0,15.1937092443422,127.7945071468,"PKHD1;IL11;SERPINE1;TNFAIP3"
"response to endoplasmic reticulum stress (GO:0034976)","6/110",0.00027534837456832,0.0266292691160346,0,0,7.29807692307692,59.8257917795612,"NIBAN1;FICD;DNAJB9;TRIB3;CHAC1;ATF3"
"regulation of inflammatory response (GO:0050727)","8/206",0.000281791207577086,0.0266292691160346,0,0,5.15282697100879,42.120981057541,"ANXA1;BCL6;SERPINE1;TNFAIP3;NR1D1;KLF4;MGLL;BIRC3"
"cellular response to glucocorticoid stimulus (GO:0071385)","3/18",0.000389267163635055,0.0343333638326118,0,0,24.9345911949686,195.767575821797,"ZFP36;ANXA1;AQP1"
"positive regulation of multicellular organismal process (GO:0051240)","10/345",0.000522730775503308,0.0385891152391708,0,0,3.83012568735271,28.9421302542399,"ABCA1;ACHE;PRKAB2;SCD;SERPINE1;ZBED2;LCN2;INHBB;INHBA;PPARGC1A"
"cell-cell junction organization (GO:0045216)","5/82",0.000541059638466299,0.0385891152391708,0,0,8.17313259988419,61.4781485169351,"PKHD1;CDH1;CDH11;LIMS2;SDK2"
"cellular response to cytokine stimulus (GO:0071345)","12/482",0.000575821287371256,0.0385891152391708,0,0,3.29668085106383,24.5922936951238,"IL11;ZFP36;CSF2;ANXA1;CSF1;BCL6;IL10RA;LCN2;F13A1;NR1D1;GAB2;IL2RG"
"negative regulation of gonadotropin secretion (GO:0032277)","2/5",0.000641693526274949,0.0385891152391708,0,0,82.6458333333333,607.562557815676,"INHBB;INHBA"
"negative regulation of plasminogen activation (GO:0010757)","2/5",0.000641693526274949,0.0385891152391708,0,0,82.6458333333333,607.562557815676,"SERPINE2;SERPINE1"
"regulation of germinal center formation (GO:0002634)","2/5",0.000641693526274949,0.0385891152391708,0,0,82.6458333333333,607.562557815676,"BCL6;TNFAIP3"
"peptidyl-lysine oxidation (GO:0018057)","2/5",0.000641693526274949,0.0385891152391708,0,0,82.6458333333333,607.562557815676,"LOXL4;LOXL1"
"positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100)","5/92",0.000913979960144284,0.0469135075796927,0,0,7.23003148107475,50.5936051203423,"GDF15;BMP8A;INHBB;INHBA;INHBE"
"cellular response to granulocyte macrophage colony-stimulating factor stimulus (GO:0097011)","2/6",0.000957418522034545,0.0469135075796927,0,0,61.98125,430.848399659407,"ZFP36;CSF2"
"positive regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902043)","2/6",0.000957418522034545,0.0469135075796927,0,0,61.98125,430.848399659407,"TIMP3;ATF3"
"positive regulation of hemoglobin biosynthetic process (GO:0046985)","2/6",0.000957418522034545,0.0469135075796927,0,0,61.98125,430.848399659407,"SLC6A9;KLF4"
"response to granulocyte macrophage colony-stimulating factor (GO:0097012)","2/6",0.000957418522034545,0.0469135075796927,0,0,61.98125,430.848399659407,"ZFP36;CSF2"
"positive regulation of cold-induced thermogenesis (GO:0120162)","5/97",0.00115962267073415,0.0504768549875771,0,0,6.83536416505123,46.2047419058086,"ACHE;PRKAB2;SCD;LCN2;PPARGC1A"
"arachidonic acid metabolic process (GO:0019369)","4/57",0.00117322572761837,0.0504768549875771,0,0,9.45068067828994,63.7731770721433,"PLA2G4C;ALOXE3;MGLL;PTGS1"
"icosanoid metabolic process (GO:0006690)","4/57",0.00117322572761837,0.0504768549875771,0,0,9.45068067828994,63.7731770721433,"PLA2G4C;ALOXE3;MGLL;PTGS1"
"negative regulation of signaling receptor activity (GO:2000272)","3/26",0.00118275321588427,0.0504768549875771,0,0,16.2551271534044,109.558099326766,"ZFYVE28;GPRC5A;SLC6A9"
"negative regulation of endothelial cell apoptotic process (GO:2000352)","3/27",0.00132273032803373,0.0534515007122703,0,0,15.5770440251572,103.245539558218,"IL11;SERPINE1;TNFAIP3"
"regulation of hemoglobin biosynthetic process (GO:0046984)","2/7",0.00133325738738089,0.0534515007122703,0,0,49.5825,328.242604035867,"SLC6A9;KLF4"
"cell junction assembly (GO:0034329)","5/102",0.0014510470815212,0.0564628026133102,0,0,6.48138420119509,42.3588910848306,"ACHE;CDH1;CDH11;SDK2;LIMS2"
"regulation of vascular wound healing (GO:0061043)","2/8",0.00176822768380326,0.0668390064477632,0,0,41.3166666666667,261.855842136183,"SERPINE1;TNFAIP3"
"regulation of complement-dependent cytotoxicity (GO:1903659)","2/9",0.00226135875847793,0.0789782247015059,0,0,35.4125,215.7254930409,"IL11;CD55"
"positive regulation of metabolic process (GO:0009893)","5/113",0.00227767549075068,0.0789782247015059,0,0,5.81799952819061,35.4001992175827,"ACHE;PRKAB2;SCD;LCN2;PPARGC1A"
"positive regulation of protein metabolic process (GO:0051247)","5/115",0.00245851948875792,0.0789782247015059,0,0,5.71163867979155,34.3166443498072,"CSF1;SLC6A9;TNFAIP3;INHBA;KLF4"
"regulation of endopeptidase activity (GO:0052548)","4/71",0.00264402424191376,0.0789782247015059,0,0,7.47062157566597,44.3415246504934,"SERPINE2;SERPINE1;TIMP3;BIRC3"
"negative regulation of cholesterol storage (GO:0010887)","2/10",0.00281169162447722,0.0789782247015059,0,0,30.984375,182.001257465139,"ABCA1;ABCG1"
"regulation of cell-cell adhesion mediated by integrin (GO:0033632)","2/10",0.00281169162447722,0.0789782247015059,0,0,30.984375,182.001257465139,"ADA;SKAP1"
"regulation of epithelial cell apoptotic process (GO:1904035)","2/10",0.00281169162447722,0.0789782247015059,0,0,30.984375,182.001257465139,"PKHD1;ZFP36"
"negative regulation of toll-like receptor 4 signaling pathway (GO:0034144)","2/10",0.00281169162447722,0.0789782247015059,0,0,30.984375,182.001257465139,"TNFAIP3;NR1D1"
"response to laminar fluid shear stress (GO:0034616)","2/10",0.00281169162447722,0.0789782247015059,0,0,30.984375,182.001257465139,"ABCA1;KLF4"
"monocyte activation (GO:0042117)","2/10",0.00281169162447722,0.0789782247015059,0,0,30.984375,182.001257465139,"CSF1;DYSF"
"cellular response to hydrogen peroxide (GO:0070301)","3/35",0.0028228449161665,0.0789782247015059,0,0,11.6780660377358,68.5503652051216,"ANXA1;TNFAIP3;AQP1"
"positive regulation of reproductive process (GO:2000243)","3/35",0.0028228449161665,0.0789782247015059,0,0,11.6780660377358,68.5503652051216,"CFAP69;INHBB;INHBA"
"chromatin assembly (GO:0031497)","4/73",0.00292511943338911,0.0789782247015059,0,0,7.25334800953953,42.319078455937,"H2BC12;H2BC5;H2BC11;H1-2"
"defense response to Gram-negative bacterium (GO:0050829)","4/73",0.00292511943338911,0.0789782247015059,0,0,7.25334800953953,42.319078455937,"H2BC12;SERPINE1;H2BC11;AQP1"
"defense response to bacterium (GO:0042742)","6/176",0.00314804054738912,0.0832971528839162,0,0,4.44977375565611,25.6350356652203,"H2BC12;SERPINE1;H2BC11;LCN2;AQP1;KRT6A"
"protein oxidation (GO:0018158)","2/11",0.0034182788395898,0.0869689020149482,0,0,27.5402777777778,156.390720359922,"LOXL4;LOXL1"
"negative regulation of protein maturation (GO:1903318)","2/11",0.0034182788395898,0.0869689020149482,0,0,27.5402777777778,156.390720359922,"SERPINE2;CHAC1"
"negative regulation of cytokine production (GO:0001818)","6/182",0.00371110382705123,0.0914929482336073,0,0,4.29676573426573,24.046531123581,"ZFP36;ANXA1;TNFAIP3;INHBB;INHBA;KLF4"
"skin development (GO:0043588)","4/80",0.00406901304479762,0.0914929482336073,0,0,6.58294470353098,36.2348633038082,"ANXA1;COL5A1;COL5A3;ALOXE3"
"negative regulation of hemostasis (GO:1900047)","2/12",0.00408018438834681,0.0914929482336073,0,0,24.785,136.357480642976,"SERPINE2;SERPINE1"
"regulation of plasminogen activation (GO:0010755)","2/12",0.00408018438834681,0.0914929482336073,0,0,24.785,136.357480642976,"SERPINE2;SERPINE1"
"phospholipid efflux (GO:0033700)","2/12",0.00408018438834681,0.0914929482336073,0,0,24.785,136.357480642976,"ABCA1;ABCG1"
"phospholipid homeostasis (GO:0055091)","2/12",0.00408018438834681,0.0914929482336073,0,0,24.785,136.357480642976,"ABCA1;ABCG1"
"fat-soluble vitamin catabolic process (GO:0042363)","2/12",0.00408018438834681,0.0914929482336073,0,0,24.785,136.357480642976,"CYP26B1;CYP24A1"
"regulation of response to external stimulus (GO:0032101)","5/130",0.00416314556015985,0.0917973596015248,0,0,5.0224203821656,27.5303187047401,"ANXA1;BCL6;MGLL;CD55;BIRC3"
"regulation of defense response (GO:0031347)","4/83",0.00464028651746317,0.0991523085501024,0,0,6.33199807723121,34.0216937430315,"ANXA1;BCL6;MGLL;BIRC3"
"negative regulation of epidermal growth factor-activated receptor activity (GO:0007175)","2/13",0.00479648355797925,0.0991523085501024,0,0,22.5306818181818,120.310961975353,"ZFYVE28;GPRC5A"
"negative regulation of macrophage derived foam cell differentiation (GO:0010745)","2/13",0.00479648355797925,0.0991523085501024,0,0,22.5306818181818,120.310961975353,"ABCA1;ABCG1"
"intracellular sterol transport (GO:0032366)","2/13",0.00479648355797925,0.0991523085501024,0,0,22.5306818181818,120.310961975353,"ABCA1;ABCG1"
"regulation of cell-cell adhesion (GO:0022407)","3/43",0.00507717636081532,0.10177430795998,0,0,9.33867924528302,49.3362425126927,"PKHD1;CDH1;ADA"
"negative regulation of proteolysis (GO:0045861)","3/43",0.00507717636081532,0.10177430795998,0,0,9.33867924528302,49.3362425126927,"SERPINE2;TIMP3;CHAC1"
"regulation of endothelial cell apoptotic process (GO:2000351)","3/44",0.005416669543019,0.105202367343554,0,0,9.11044638748274,47.5408066770181,"IL11;SERPINE1;TNFAIP3"
"negative regulation of coagulation (GO:0050819)","2/14",0.00556626282241027,0.105202367343554,0,0,20.6520833333333,107.205613011903,"SERPINE2;SERPINE1"
"regulation of IRE1-mediated unfolded protein response (GO:1903894)","2/14",0.00556626282241027,0.105202367343554,0,0,20.6520833333333,107.205613011903,"FICD;DNAJB9"
"ovarian follicle development (GO:0001541)","2/14",0.00556626282241027,0.105202367343554,0,0,20.6520833333333,107.205613011903,"INHBB;INHBA"
"cellular response to arsenic-containing substance (GO:0071243)","2/15",0.00638861972754848,0.114218160804684,0,0,19.0625,96.3273310560068,"CPEB2;ATF3"
"regulation of macrophage differentiation (GO:0045649)","2/15",0.00638861972754848,0.114218160804684,0,0,19.0625,96.3273310560068,"CSF1;INHBA"
"intracellular cholesterol transport (GO:0032367)","2/15",0.00638861972754848,0.114218160804684,0,0,19.0625,96.3273310560068,"ABCA1;ABCG1"
"macrophage differentiation (GO:0030225)","2/15",0.00638861972754848,0.114218160804684,0,0,19.0625,96.3273310560068,"CSF2;CSF1"
"regulation of wound healing (GO:0061041)","3/47",0.00651568268714703,0.114936642601274,0,0,8.48799313893653,42.7246808839115,"ANXA1;SERPINE1;TNFAIP3"
"regulation of interleukin-2 production (GO:0032663)","3/48",0.00690929792679526,0.118049576680352,0,0,8.29895178197065,41.2863493989822,"ZFP36;ANXA1;TNFAIP3"
"nucleosome organization (GO:0034728)","4/94",0.00719184413229416,0.118049576680352,0,0,5.5549929676512,27.4128218170175,"H2BC12;H2BC5;H2BC11;H1-2"
"regulation of cholesterol storage (GO:0010885)","2/16",0.00726266276419752,0.118049576680352,0,0,17.7,87.1726547946735,"ABCA1;ABCG1"
"cellular response to corticosteroid stimulus (GO:0071384)","2/16",0.00726266276419752,0.118049576680352,0,0,17.7,87.1726547946735,"ZFP36;ANXA1"
"regulation of hormone secretion (GO:0046883)","2/16",0.00726266276419752,0.118049576680352,0,0,17.7,87.1726547946735,"IL11;ANXA1"
"regulation of cellular protein metabolic process (GO:0032268)","3/49",0.0073167538078525,0.118049576680352,0,0,8.11812961443806,39.9216209815685,"CSF1;INHBA;KLF4"
"response to hydrogen peroxide (GO:0042542)","3/49",0.0073167538078525,0.118049576680352,0,0,8.11812961443806,39.9216209815685,"ANXA1;TNFAIP3;AQP1"
"negative regulation of insulin secretion (GO:0046676)","2/17",0.00818751126341898,0.127436204723568,0,0,16.5191666666667,79.3769961068545,"BMP8A;INHBB"
"regulation of cell killing (GO:0031341)","2/17",0.00818751126341898,0.127436204723568,0,0,16.5191666666667,79.3769961068545,"IL11;CD55"
"reverse cholesterol transport (GO:0043691)","2/17",0.00818751126341898,0.127436204723568,0,0,16.5191666666667,79.3769961068545,"ABCA1;ABCG1"
