"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Cytokine-cytokine receptor interaction","10/295",0.000150661913868914,0.0259138491854531,0,0,4.51361957525392,39.721983649437,"IL11;CSF2;CSF1;GDF15;IL10RA;BMP8A;INHBB;INHBA;IL2RG;INHBE"
"Alcoholism","6/186",0.00412593411534088,0.176713884393514,0,0,4.20042735042735,23.0622902486758,"H2BC12;H2AC6;H2BC5;H2BC11;H2BC4;FOSB"
"Neutrophil extracellular trap formation","6/189",0.00445887213907319,0.176713884393514,0,0,4.13093736864229,22.3601832845904,"H2BC12;H2AC6;H2BC5;NCF2;H2BC11;H2BC4"
"Systemic lupus erythematosus","5/135",0.0048829624398268,0.176713884393514,0,0,4.82802547770701,25.6947669742542,"H2BC12;H2AC6;H2BC5;H2BC11;H2BC4"
"Apelin signaling pathway","5/137",0.00519420147236941,0.176713884393514,0,0,4.75439104419996,25.0091066160382,"PRKAB2;MRAS;CDH1;SERPINE1;PPARGC1A"
"TGF-beta signaling pathway","4/94",0.00719184413229416,0.176713884393514,0,0,5.5549929676512,27.4128218170175,"BMP8A;INHBB;INHBA;INHBE"
"IL-17 signaling pathway","4/94",0.00719184413229416,0.176713884393514,0,0,5.5549929676512,27.4128218170175,"CSF2;LCN2;TNFAIP3;FOSB"
"Hematopoietic cell lineage","4/99",0.0086068342989382,0.182714954038557,0,0,5.26129247168554,25.0184911500651,"IL11;CSF2;CSF1;CD55"
"Protein digestion and absorption","4/103",0.00986148336252363,0.182714954038557,0,0,5.04769211098325,23.3158889168765,"COL27A1;COL5A1;COL5A3;COL8A2"
"Insulin resistance","4/108",0.0115893219480573,0.182714954038557,0,0,4.80379746835443,21.4137492723782,"PRKAB2;RPS6KA2;TRIB3;PPARGC1A"
"Thermogenesis","6/232",0.0116852586885124,0.182714954038557,0,0,3.33764465622873,14.8506068263225,"PRKAB2;RPS6KA2;BMP8A;COX6B2;PPARGC1A;MGLL"
"TNF signaling pathway","4/112",0.0131034696975346,0.187816398997995,0,0,4.6249413970933,20.0485577376852,"CSF2;CSF1;TNFAIP3;BIRC3"
"Fc epsilon RI signaling pathway","3/68",0.0178066918088953,0.235596230086922,0,0,5.73962264150943,23.1202385733152,"CSF2;PLA2G4C;GAB2"
"Osteoclast differentiation","4/127",0.019879451614182,0.244233262688522,0,0,4.05783678089945,15.8988831305426,"CSF1;NCF2;FOSB;GAB2"
"FoxO signaling pathway","4/131",0.0219907938979868,0.252161103363582,0,0,3.92923352935314,14.9984005743198,"PRKAB2;BCL6;FBXO32;SGK1"
"Circadian rhythm","2/31",0.026001611322403,0.279517321715833,0,0,8.53836206896552,31.1615786189567,"PRKAB2;NR1D1"
"Signaling pathways regulating pluripotency of stem cells","4/143",0.0291243826751066,0.294670224712843,0,0,3.58783353064384,12.6872236066,"INHBB;INHBA;KLF4;INHBE"
"Complement and coagulation cascades","3/85",0.0317913344737615,0.303783862749276,0,0,4.54578923147722,15.6764338542334,"SERPINE1;F13A1;CD55"
"ECM-receptor interaction","3/88",0.034712822226331,0.313521599437574,0,0,4.38468368479467,14.7353703165391,"FRAS1;LAMB3;ITGA10"
"Primary immunodeficiency","2/38",0.0378949418406088,0.313521599437574,0,0,6.87569444444444,22.5037191240925,"IL2RG;ADA"
"Rheumatoid arthritis","3/93",0.0398796791245482,0.313521599437574,0,0,4.14004192872117,13.3387529826328,"IL11;CSF2;CSF1"
"Necroptosis","4/159",0.0405463085583118,0.313521599437574,0,0,3.21486320947325,10.3046349199682,"H2AC6;PLA2G4C;TNFAIP3;BIRC3"
