"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"TNF-alpha Signaling via NF-kB","17/200",6.08499516221882e-13,2.37314811326534e-11,0,0,12.592236668551,354.191666215498,"ABCA1;CSF2;CSF1;LAMB3;SERPINE1;TNFAIP3;INHBA;KLF4;RCAN1;ZFP36;KLF6;BCL6;FOSB;MXD1;SGK1;ATF3;BIRC3"
"Epithelial Mesenchymal Transition","11/200",7.28298102023027e-07,9.46787532629935e-06,0,0,7.57346087809664,107.032355367053,"SERPINE2;COL5A1;NTM;COL5A3;SERPINE1;CDH11;COL8A2;TNFAIP3;TIMP3;INHBA;LOXL1"
"p53 Pathway","11/200",7.28298102023027e-07,9.46787532629935e-06,0,0,7.57346087809664,107.032355367053,"RGS16;TCHH;ABAT;TRIB3;INHBB;SLC7A11;MXD1;KLF4;ATF3;ADA;H1-2"
"Inflammatory Response","10/200",5.52701095744681e-06,5.38883568351064e-05,0,0,6.80332409972299,82.3601122347576,"ABCA1;KLF6;CSF1;LAMP3;RGS16;IL10RA;SERPINE1;INHBA;MXD1;CD55"
"KRAS Signaling Up","9/200",3.77916810663942e-05,0.000294775112317875,0,0,6.05081613797351,61.6180114978994,"CSF2;RGS16;IL10RA;F13A1;TNFAIP3;INHBA;IL2RG;KLF4;BIRC3"
"Cholesterol Homeostasis","5/74",0.00033645449195174,0.00218695419768631,0,0,9.12443459798763,72.9685383268992,"NIBAN1;SCD;TRIB3;CPEB2;ATF3"
"Hypoxia","7/200",0.00124449583762367,0.00539281529636926,0,0,4.59685776366371,30.7484954948657,"ZFP36;KLF6;COL5A1;SERPINE1;TNFAIP3;PPARGC1A;ATF3"
"Estrogen Response Early","7/200",0.00124449583762367,0.00539281529636926,0,0,4.59685776366371,30.7484954948657,"CYP26B1;RPS6KA2;HSPB8;ABAT;INHBB;GAB2;KLF4"
"Estrogen Response Late","7/200",0.00124449583762367,0.00539281529636926,0,0,4.59685776366371,30.7484954948657,"ZFP36;CYP26B1;CDH1;RPS6KA2;HSPB8;SGK1;KLF4"
"IL-6/JAK/STAT3 Signaling","4/87",0.0054826674692519,0.0175526048982465,0,0,6.02562147323471,31.3703707715399,"CSF2;CSF1;IL2RG;INHBE"
"IL-2/STAT5 Signaling","6/199",0.00571267679582615,0.0175526048982465,0,0,3.91490633718613,20.2207557786201,"KLF6;CSF2;CSF1;RGS16;IL10RA;MXD1"
"mTORC1 Signaling","6/200",0.0058508682994155,0.0175526048982465,0,0,3.89452815226011,20.0224126126699,"NIBAN1;SCD;IFRD1;TRIB3;SLC7A11;CORO1A"
"Allograft Rejection","6/200",0.0058508682994155,0.0175526048982465,0,0,3.89452815226011,20.0224126126699,"ACHE;IL11;CSF1;INHBB;INHBA;IL2RG"
"Androgen Response","4/100",0.0089100918494989,0.0243236175332611,0,0,5.20622362869198,24.5763468700588,"SCD;DNAJB9;SGK1;SEC24D"
"UV Response Up","5/158",0.00935523751279273,0.0243236175332611,0,0,4.09745639232338,19.1425743414461,"TCHH;SLC6A12;FOSB;NPTX2;ATF3"
"Adipogenesis","5/200",0.0235849453451751,0.0541066393212841,0,0,3.20806794055202,12.0211011313832,"ABCA1;BCL6;HSPB8;DNAJB9;MGLL"
"Myogenesis","5/200",0.0235849453451751,0.0541066393212841,0,0,3.20806794055202,12.0211011313832,"ACHE;MRAS;SCD;HSPB8;IFRD1"
"Apoptosis","4/161",0.0421294486074661,0.0912804719828433,0,0,3.17358703539466,10.0507764531794,"ANXA1;TIMP3;ATF3;BIRC3"
"Apical Surface","2/44",0.0494231090989239,0.101447434466212,0,0,5.89166666666667,17.7182281519376,"PKHD1;IL2RG"
"Unfolded Protein Response","3/113",0.0641402385088236,0.125073465092206,0,0,3.38387650085763,9.29443729803872,"DNAJB9;CHAC1;ATF3"
"TGF-beta Signaling","2/54",0.0709835394884448,0.131826573335683,0,0,4.75625,12.5817426887181,"CDH1;SERPINE1"
"Apical Junction","4/200",0.0798287777328656,0.135361840503555,0,0,2.5370705244123,6.41338755242668,"LAMB3;CDH1;ITGA10;CDH11"
"Complement","4/200",0.0798287777328656,0.135361840503555,0,0,2.5370705244123,6.41338755242668,"KCNIP3;SERPINE1;TNFAIP3;CD55"
"Coagulation","3/138",0.10182771411491,0.165470035436729,0,0,2.75373864430468,6.29084150239332,"ANXA1;SERPINE1;TIMP3"
"Protein Secretion","2/96",0.182652758026863,0.278348876029839,0,0,2.62553191489362,4.46384646260582,"ABCA1;SEC24D"
"Interferon Alpha Response","2/97",0.185565917353226,0.278348876029839,0,0,2.59776315789474,4.37552967308972,"CSF1;LAMP3"
"PI3K/AKT/mTOR  Signaling","2/105",0.209087364778733,0.30201508245817,0,0,2.39502427184466,3.74822041256324,"TRIB3;IL2RG"
"Hedgehog Signaling","1/36",0.254010908016914,0.353800907594988,0,0,3.51428571428571,4.81590006732225,"ACHE"
"UV Response Dn","2/144",0.325647734990257,0.43794005740069,0,0,1.73380281690141,1.94522108417893,"SERPINE1;MGLL"
"Interferon Gamma Response","2/200",0.483303057030244,0.538537692119415,0,0,1.23989898989899,0.901544659189228,"IL10RA;TNFAIP3"
"Myc Targets V1","2/200",0.483303057030244,0.538537692119415,0,0,1.23989898989899,0.901544659189228,"LSM7;IFRD1"
"Xenobiotic Metabolism","2/200",0.483303057030244,0.538537692119415,0,0,1.23989898989899,0.901544659189228,"SERPINE1;SLC6A12"
"Glycolysis","2/200",0.483303057030244,0.538537692119415,0,0,1.23989898989899,0.901544659189228,"COL5A1;CHST1"
"heme Metabolism","2/200",0.483303057030244,0.538537692119415,0,0,1.23989898989899,0.901544659189228,"SLC6A9;SLC7A11"
"KRAS Signaling Dn","2/200",0.483303057030244,0.538537692119415,0,0,1.23989898989899,0.901544659189228,"NPHS1;SGK1"
"Bile Acid Metabolism","1/112",0.598857955227583,0.648762784829882,0,0,1.10385540820323,0.565980716760974,"ABCA1"
"DNA Repair","1/150",0.70610422248631,0.743828979398248,0,0,0.820751177623077,0.28561519546734,"ADA"
"Fatty Acid Metabolism","1/158",0.724756441464959,0.743828979398248,0,0,0.778612968311113,0.250650793514259,"MGLL"
"G2-M Checkpoint","1/200",0.805002942247862,0.805002942247862,0,0,0.612971690751896,0.132959288927721,"H2BC12"
