"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)","4/29",5.76670916978275e-05,0.077222393743306,0,0,22.1851748251748,216.545584252795,"PPP1R15A;DDIT3;TRIB3;CHAC1"
"regulation of protein kinase B signaling (GO:0051896)","8/207",0.000149899266461499,0.077222393743306,0,0,5.68424858103467,50.0529183036577,"PKHD1;DDIT3;CASS4;CHI3L1;TRIB3;CCR7;F3;FGF3"
"response to endoplasmic reticulum stress (GO:0034976)","6/110",0.000162687627268201,0.077222393743306,0,0,8.08060556464812,70.4926057821793,"PPP1R15A;DDIT3;DNAJB9;TRIB3;CHAC1;ATF3"
"regulation of cell migration (GO:0030334)","11/408",0.000220343358447867,0.0784422356074405,0,0,3.96384649577715,33.3768698307034,"MCTP1;ANXA1;SERPINE2;SEMA3A;NOG;CASS4;SNAI2;CCN1;SGK1;F3;FGF3"
"cell-cell junction organization (GO:0045216)","5/82",0.000346922738852627,0.094130505890607,0,0,9.043351015182,72.0430280106914,"PKHD1;CADM1;CDH11;LIMS2;SDK2"
"response to hydrogen peroxide (GO:0042542)","4/49",0.000459040744112893,0.094130505890607,0,0,12.3126651126651,94.6397192540739,"ANXA1;TNFAIP3;HMOX1;AQP1"
"regulation of germinal center formation (GO:0002634)","2/5",0.000528823066801163,0.094130505890607,0,0,91.264367816092,688.576572365712,"BCL6;TNFAIP3"
"cellular response to salt stress (GO:0071472)","2/5",0.000528823066801163,0.094130505890607,0,0,91.264367816092,688.576572365712,"AKR1B1;AQP1"
"cellular hyperosmotic response (GO:0071474)","2/6",0.000789408964019307,0.102876616899974,0,0,68.4448275862069,488.985319497853,"AKR1B1;AQP1"
"positive regulation of epithelial cell differentiation involved in kidney development (GO:2000698)","2/6",0.000789408964019307,0.102876616899974,0,0,68.4448275862069,488.985319497853,"PAX8;CD24"
"cellular response to cytokine stimulus (GO:0071345)","11/482",0.000887599316582301,0.102876616899974,0,0,3.32836892718871,23.3884156232113,"IL11;CSF2;ANXA1;BCL6;IL10RA;LCN2;HMOX1;CHI3L1;CCR7;IL2RG;F3"
"intrinsic apoptotic signaling pathway (GO:0097193)","5/102",0.000941818776032408,0.102876616899974,0,0,7.17148250326702,49.9687220290533,"PPP1R15A;DDIT3;TRIB3;CHAC1;CD24"
"positive regulation of vasculature development (GO:1904018)","5/102",0.000941818776032408,0.102876616899974,0,0,7.17148250326702,49.9687220290533,"VASH2;HMOX1;CHI3L1;F3;AQP1"
"regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239)","3/28",0.00111373062599333,0.102876616899974,0,0,16.5233333333333,112.359327180683,"CSF2;SNAI2;INHBA"
"positive regulation of protein kinase B signaling (GO:0051897)","6/161",0.00123201492996055,0.102876616899974,0,0,5.40782429649966,36.2275789738266,"CASS4;CHI3L1;TRIB3;CCR7;F3;FGF3"
"limb development (GO:0060173)","3/29",0.0012355847500315,0.102876616899974,0,0,15.8870192307692,106.382831963602,"NOG;LRP4;DKK1"
"regulation of macrophage derived foam cell differentiation (GO:0010743)","3/31",0.00150373557361187,0.102876616899974,0,0,14.750744047619,95.8769287067201,"ABCA1;CSF2;ABCG1"
"positive regulation of angiogenesis (GO:0045766)","5/116",0.0016710041731978,0.102876616899974,0,0,6.26253013576957,40.0446876543872,"VASH2;HMOX1;CHI3L1;F3;AQP1"
"regulation of complement-dependent cytotoxicity (GO:1903659)","2/9",0.0018673275806489,0.102876616899974,0,0,39.1054187192118,245.709003737199,"IL11;CD55"
"negative regulation of pathway-restricted SMAD protein phosphorylation (GO:0060394)","2/9",0.0018673275806489,0.102876616899974,0,0,39.1054187192118,245.709003737199,"NOG;DKK1"
"regulation of nephron tubule epithelial cell differentiation (GO:0072182)","2/9",0.0018673275806489,0.102876616899974,0,0,39.1054187192118,245.709003737199,"PAX8;CD24"
"cell junction organization (GO:0034330)","4/72",0.00195640157612668,0.102876616899974,0,0,8.13862607980255,50.7577495114679,"PKHD1;LRP4;LIMS2;SDK2"
"cellular response to hydrogen peroxide (GO:0070301)","3/35",0.00214307002002043,0.102876616899974,0,0,12.904296875,79.3035614841786,"ANXA1;TNFAIP3;AQP1"
"negative regulation of cholesterol storage (GO:0010887)","2/10",0.00232292460926634,0.102876616899974,0,0,34.2155172413793,207.514658123856,"ABCA1;ABCG1"
"positive regulation of intracellular signal transduction (GO:1902533)","11/546",0.00238122608860777,0.102876616899974,0,0,2.92053326003299,17.6404290662821,"IL11;DDIT3;CASS4;HMOX1;SECTM1;CHI3L1;TRIB3;CCR7;F3;FGF3;BIRC3"
"synapse organization (GO:0050808)","5/126",0.00240011702444068,0.102876616899974,0,0,5.74205563962286,34.637444979316,"CACNB1;ACHE;LRP4;DKK1;SDK2"
"negative regulation of epithelial cell apoptotic process (GO:1904036)","3/37",0.00251706778680478,0.102876616899974,0,0,12.1439950980392,72.6776893736332,"PKHD1;IL11;TNFAIP3"
"regulation of response to external stimulus (GO:0032101)","5/130",0.00274822200348683,0.102876616899974,0,0,5.55718309859155,32.769603523099,"ANXA1;BCL6;MGLL;CD55;BIRC3"
"pyrimidine nucleoside salvage (GO:0043097)","2/11",0.00282547208147417,0.102876616899974,0,0,30.4122605363985,178.491984590451,"CDA;UPP1"
"pyrimidine-containing compound salvage (GO:0008655)","2/11",0.00282547208147417,0.102876616899974,0,0,30.4122605363985,178.491984590451,"CDA;UPP1"
"negative regulation of protein maturation (GO:1903318)","2/11",0.00282547208147417,0.102876616899974,0,0,30.4122605363985,178.491984590451,"SERPINE2;CHAC1"
"positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440)","2/11",0.00282547208147417,0.102876616899974,0,0,30.4122605363985,178.491984590451,"DDIT3;ATF3"
"negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)","4/80",0.00287468252800225,0.102876616899974,0,0,7.27898417372102,42.5952544756925,"CSF2;TNFAIP3;HMOX1;SNAI2"
"skin development (GO:0043588)","4/80",0.00287468252800225,0.102876616899974,0,0,7.27898417372102,42.5952544756925,"ANXA1;COL5A1;COL5A3;ALOXE3"
"negative regulation of cell differentiation (GO:0045596)","6/191",0.00291528340174715,0.102876616899974,0,0,4.52397929844738,26.4100331556938,"ABCA1;COL5A1;NOG;SNAI2;TRIB3;ABCG1"
"regulation of interleukin-8 production (GO:0032677)","4/81",0.00300699441376456,0.102876616899974,0,0,7.18408863863409,41.7166681559512,"ANXA1;DDIT3;CHI3L1;F3"
"negative regulation of protein kinase B signaling (GO:0051898)","3/40",0.00314961556610629,0.102876616899974,0,0,11.1576576576577,64.2734066130431,"PKHD1;DDIT3;TRIB3"
"regulation of defense response (GO:0031347)","4/83",0.00328398700694345,0.102876616899974,0,0,7.00150482428963,40.0394849413245,"ANXA1;BCL6;MGLL;BIRC3"
"organic substance transport (GO:0071702)","5/136",0.00333698138972293,0.102876616899974,0,0,5.30104289861305,30.2301972038279,"SLC22A4;ABCA1;ARRDC3;SPNS2;ABCG1"
"regulation of astrocyte differentiation (GO:0048710)","2/12",0.00337426472693472,0.102876616899974,0,0,27.3696551724138,155.776522787786,"SERPINE2;NOG"
"nucleoside salvage (GO:0043174)","2/12",0.00337426472693472,0.102876616899974,0,0,27.3696551724138,155.776522787786,"CDA;UPP1"
"phospholipid efflux (GO:0033700)","2/12",0.00337426472693472,0.102876616899974,0,0,27.3696551724138,155.776522787786,"ABCA1;ABCG1"
"phospholipid homeostasis (GO:0055091)","2/12",0.00337426472693472,0.102876616899974,0,0,27.3696551724138,155.776522787786,"ABCA1;ABCG1"
"positive regulation of branching involved in ureteric bud morphogenesis (GO:0090190)","2/12",0.00337426472693472,0.102876616899974,0,0,27.3696551724138,155.776522787786,"PAX8;NOG"
"glomerular visceral epithelial cell differentiation (GO:0072112)","2/12",0.00337426472693472,0.102876616899974,0,0,27.3696551724138,155.776522787786,"NPHS1;CD24"
"urogenital system development (GO:0001655)","2/12",0.00337426472693472,0.102876616899974,0,0,27.3696551724138,155.776522787786,"ANXA1;PAX8"
"positive regulation of cytokine production (GO:0001819)","8/335",0.00339550631622106,0.102876616899974,0,0,3.43669284755682,19.538638071039,"CSF2;ANXA1;CADM1;DDIT3;HMOX1;CHI3L1;CCR7;F3"
"regulation of angiogenesis (GO:0045765)","6/203",0.00393115257893293,0.108678721021026,0,0,4.24581488281672,23.5168155091005,"VASH2;HMOX1;TNFAIP3;CHI3L1;F3;AQP1"
"negative regulation of endoplasmic reticulum unfolded protein response (GO:1900102)","2/13",0.0039686049811049,0.108678721021026,0,0,24.8802507836991,137.571381696779,"PPP1R15A;DNAJB9"
"negative regulation of macrophage derived foam cell differentiation (GO:0010745)","2/13",0.0039686049811049,0.108678721021026,0,0,24.8802507836991,137.571381696779,"ABCA1;ABCG1"
"response to nitric oxide (GO:0071731)","2/13",0.0039686049811049,0.108678721021026,0,0,24.8802507836991,137.571381696779,"CCR7;AQP1"
"intracellular sterol transport (GO:0032366)","2/13",0.0039686049811049,0.108678721021026,0,0,24.8802507836991,137.571381696779,"ABCA1;ABCG1"
"second-messenger-mediated signaling (GO:0019932)","4/89",0.0042182669619663,0.11333607837434,0,0,6.50530645824763,35.5731683703667,"RCAN1;HRH1;MCTP1;CCR7"
"positive regulation of transport (GO:0051050)","4/91",0.00456570513524547,0.119300206245415,0,0,6.3551161482196,34.2488795323161,"ANXA1;TFR2;SGK1;IL2RG"
"pyrimidine nucleoside biosynthetic process (GO:0046134)","2/14",0.00460780290975972,0.119300206245415,0,0,22.8057471264368,122.695013678312,"CDA;UPP1"
"regulation of cytokine production (GO:0001817)","5/150",0.005055796364642,0.127705674911013,0,0,4.78581835842642,25.3036740573333,"ANXA1;CADM1;BCL6;SNAI2;CCR7"
"regulation of branching involved in ureteric bud morphogenesis (GO:0090189)","2/15",0.0052911761374647,0.127705674911013,0,0,21.0503978779841,110.340180536771,"PAX8;NOG"
"negative regulation of protein processing (GO:0010955)","2/15",0.0052911761374647,0.127705674911013,0,0,21.0503978779841,110.340180536771,"SERPINE2;CHAC1"
"intracellular cholesterol transport (GO:0032367)","2/15",0.0052911761374647,0.127705674911013,0,0,21.0503978779841,110.340180536771,"ABCA1;ABCG1"
"positive regulation of cell motility (GO:2000147)","6/221",0.00591774224911658,0.133901607470455,0,0,3.88678871845621,19.9384498549443,"SEMA3A;CASS4;SNAI2;CCR7;CCN1;F3"
"regulation of cholesterol storage (GO:0010885)","2/16",0.00601804977395303,0.133901607470455,0,0,19.5458128078818,99.9375851058324,"ABCA1;ABCG1"
"regulation of hormone secretion (GO:0046883)","2/16",0.00601804977395303,0.133901607470455,0,0,19.5458128078818,99.9375851058324,"IL11;ANXA1"
"regulation of interleukin-1 production (GO:0032652)","2/16",0.00601804977395303,0.133901607470455,0,0,19.5458128078818,99.9375851058324,"ANXA1;CCR7"
"T cell mediated immunity (GO:0002456)","2/16",0.00601804977395303,0.133901607470455,0,0,19.5458128078818,99.9375851058324,"CADM1;CD55"
"cytokine-mediated signaling pathway (GO:0019221)","11/621",0.00623516628861107,0.136598104538187,0,0,2.55150675024108,12.9554031762817,"IL11;CSF2;ANXA1;BCL6;IL10RA;LCN2;HMOX1;TNFRSF11B;IL2RG;F3;BIRC3"
"myeloid cell differentiation (GO:0030099)","3/52",0.00660802641686415,0.136865009115806,0,0,8.42006802721088,42.2642809239828,"IL11;CSF2;INHBA"
"regulation of cell killing (GO:0031341)","2/17",0.0067877563485638,0.136865009115806,0,0,18.2418390804598,91.0748410959975,"IL11;CD55"
"cell surface receptor signaling pathway involved in heart development (GO:0061311)","2/17",0.0067877563485638,0.136865009115806,0,0,18.2418390804598,91.0748410959975,"NOG;SNAI2"
