"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"IL-17 signaling pathway","4/94",0.00512220529158145,0.307907545742133,0,0,6.14234654234654,32.3957811632902,"CSF2;LCN2;TNFAIP3;FOSB"
"Hematopoietic cell lineage","4/99",0.00614764526709586,0.307907545742133,0,0,5.81759293338241,29.621357387821,"IL11;CSF2;CD24;CD55"
"Cytokine-cytokine receptor interaction","7/295",0.00624136917044865,0.307907545742133,0,0,3.39670138888889,17.2435438048705,"IL11;CSF2;IL10RA;TNFRSF11B;CCR7;INHBA;IL2RG"
"Transcriptional misregulation in cancer","5/192",0.0138255693426923,0.490149587745367,0,0,3.70302026060104,15.8535019832039,"CSF2;BCL6;PAX8;DDIT3;BIRC3"
"Arrhythmogenic right ventricular cardiomyopathy","3/77",0.0191563198014919,0.490149587745367,0,0,5.56841216216216,22.0237528001255,"CACNB1;ITGA10;CACNA1S"
"Cardiac muscle contraction","3/87",0.0263328190326828,0.490149587745367,0,0,4.90302579365079,17.8320069319923,"CACNB1;CACNA1S;COX6B2"
"ECM-receptor interaction","3/88",0.0271192218659423,0.490149587745367,0,0,4.84509803921569,17.4787517817687,"LAMB3;ITGA10;TNC"
"Hypertrophic cardiomyopathy","3/90",0.0287294202820861,0.490149587745367,0,0,4.73323754789272,16.8022056101348,"CACNB1;ITGA10;CACNA1S"
"JAK-STAT signaling pathway","4/162",0.0317734049894562,0.490149587745367,0,0,3.4867663981588,12.0262954549913,"IL11;CSF2;IL10RA;IL2RG"
"Dilated cardiomyopathy","3/96",0.0338578653568288,0.490149587745367,0,0,4.42652329749104,14.9863662191179,"CACNB1;ITGA10;CACNA1S"
"Viral protein interaction with cytokine and cytokine receptor","3/100",0.0375231245710671,0.490149587745367,0,0,4.24312714776632,13.9293288087839,"IL10RA;CCR7;IL2RG"
"ABC transporters","2/45",0.0432393043038671,0.490149587745367,0,0,6.35445068163593,19.9593637494972,"ABCA1;ABCG1"
"PI3K-Akt signaling pathway","6/354",0.046958680325493,0.490149587745367,0,0,2.38505747126437,7.29466776132909,"LAMB3;ITGA10;TNC;SGK1;IL2RG;FGF3"
"TNF signaling pathway","3/112",0.0496773230823007,0.490149587745367,0,0,3.7737003058104,11.3294284400695,"CSF2;TNFAIP3;BIRC3"
"Toxoplasmosis","3/112",0.0496773230823007,0.490149587745367,0,0,3.7737003058104,11.3294284400695,"LAMB3;IL10RA;BIRC3"
"Focal adhesion","4/201",0.0611982088729012,0.515654877896064,0,0,2.79095523765575,7.79691681272228,"LAMB3;ITGA10;TNC;BIRC3"
"Regulation of lipolysis in adipocytes","2/55",0.0618747056871825,0.515654877896064,0,0,5.15289525048796,14.3386720964405,"MGLL;PTGS1"
"Pyrimidine metabolism","2/56",0.063865852511932,0.515654877896064,0,0,5.05721583652618,13.9122513251521,"CDA;UPP1"
"MAPK signaling pathway","5/294",0.0661989370271975,0.515654877896064,0,0,2.38364442711633,6.47181122892002,"CACNB1;DDIT3;CACNA1S;CACNA1E;FGF3"
"Glycerolipid metabolism","2/61",0.0741352465146729,0.54860082420858,0,0,4.62746931618936,12.0400467425461,"AKR1B1;MGLL"
"GnRH secretion","2/64",0.0805331963053796,0.567567288247437,0,0,4.40289210233593,11.0912629875627,"KISS1;CACNA1S"
"Renin secretion","2/69",0.0915565501542151,0.615925882855629,0,0,4.07328872876994,9.73841243264022,"CACNA1S;AQP1"
"Calcium signaling pathway","4/240",0.101098904605006,0.639931548481556,0,0,2.3251155624037,5.32836500086733,"HRH1;CACNA1S;CACNA1E;FGF3"
"Oxytocin signaling pathway","3/154",0.104726264880367,0.639931548481556,0,0,2.71826710816777,6.13351240240317,"CACNB1;RCAN1;CACNA1S"
"Synaptic vesicle cycle","2/78",0.112402735941256,0.639931548481556,0,0,3.58929219600726,7.84499750869892,"SYT1;SLC6A12"
"Necroptosis","3/159",0.112420407165679,0.639931548481556,0,0,2.63047542735043,5.74892982405181,"H2AC6;TNFAIP3;BIRC3"
"Primary bile acid biosynthesis","1/17",0.117910225270463,0.646322716297354,0,0,8.49186643835616,18.1541816620678,"HSD3B7"
"Complement and coagulation cascades","2/85",0.129376072561411,0.670768555359376,0,0,3.28541753219776,6.71878341066374,"F3;CD55"
"GABAergic synapse","2/89",0.139327494531181,0.670768555359376,0,0,3.1337296868807,6.17635571367148,"SLC6A12;CACNA1S"
"Small cell lung cancer","2/92",0.146897193772548,0.670768555359376,0,0,3.0288122605364,5.80932945508031,"LAMB3;BIRC3"
"Rheumatoid arthritis","2/93",0.149439156470998,0.670768555359376,0,0,2.99537703675635,5.69381021393829,"IL11;CSF2"
"TGF-beta signaling pathway","2/94",0.151990032665895,0.670768555359376,0,0,2.96266866566717,5.58149099805385,"NOG;INHBA"
"Proximal tubule bicarbonate reclamation","1/23",0.15613909305252,0.670768555359376,0,0,6.17403486924035,11.4652324337733,"AQP1"
"Alcoholism","3/186",0.157332861315981,0.670768555359376,0,0,2.23929872495446,4.14134021191603,"H2AC6;H2BC4;FOSB"
"Amoebiasis","2/102",0.172686748842208,0.670768555359376,0,0,2.72455172413793,4.78506487502146,"CSF2;LAMB3"
"Folate biosynthesis","1/26",0.174631799803631,0.670768555359376,0,0,5.43232876712329,9.47982396276961,"AKR1B1"
"Maturity onset diabetes of the young","1/26",0.174631799803631,0.670768555359376,0,0,5.43232876712329,9.47982396276961,"BHLHA15"
"Protein digestion and absorption","2/103",0.175306289541085,0.670768555359376,0,0,2.69743939911233,4.69683707318256,"COL5A1;COL5A3"
"NF-kappa B signaling pathway","2/104",0.177932234931163,0.670768555359376,0,0,2.67085868830291,4.61084358387338,"TNFAIP3;BIRC3"
"Drug metabolism","2/108",0.188495439753255,0.670768555359376,0,0,2.56955107351984,4.28776224892379,"CDA;UPP1"
"Pathways in cancer","6/531",0.196966672948742,0.670768555359376,0,0,1.56660587639311,2.54529705471566,"PAX8;LAMB3;HMOX1;IL2RG;FGF3;BIRC3"
"Serotonergic synapse","2/113",0.201816424974661,0.670768555359376,0,0,2.45318421870146,3.92606812934293,"CACNA1S;PTGS1"
"Cholinergic synapse","2/113",0.201816424974661,0.670768555359376,0,0,2.45318421870146,3.92606812934293,"ACHE;CACNA1S"
"Galactose metabolism","1/31",0.204562706940608,0.670768555359376,0,0,4.52579908675799,7.18190329117495,"AKR1B1"
"Lipid and atherosclerosis","3/215",0.210549939752921,0.670768555359376,0,0,1.93012971698113,3.00720465555605,"ABCA1;DDIT3;ABCG1"
"Fructose and mannose metabolism","1/33",0.216230956655615,0.670768555359376,0,0,4.24250856164384,6.49701239459367,"AKR1B1"
"Pentose and glucuronate interconversions","1/34",0.222001171643713,0.670768555359376,0,0,4.1137401411374,6.19147764995582,"AKR1B1"
"Aldosterone-regulated sodium reabsorption","1/37",0.239059874649382,0.670768555359376,0,0,3.77035768645358,5.39553732710397,"SGK1"
"Thyroid cancer","1/37",0.239059874649382,0.670768555359376,0,0,3.77035768645358,5.39553732710397,"PAX8"
"Osteoclast differentiation","2/127",0.239596603482928,0.670768555359376,0,0,2.17688275862069,3.110327013113,"FOSB;TNFRSF11B"
"Primary immunodeficiency","1/38",0.244663142425161,0.670768555359376,0,0,3.66827101073676,5.16445950506132,"IL2RG"
"FoxO signaling pathway","2/131",0.250469360042231,0.670768555359376,0,0,2.10895482491312,2.91967645728797,"BCL6;SGK1"
"Natural killer cell mediated cytotoxicity","2/131",0.250469360042231,0.670768555359376,0,0,2.10895482491312,2.91967645728797,"CSF2;RAET1E"
"Vascular smooth muscle contraction","2/133",0.25591191493679,0.670768555359376,0,0,2.07654645959463,2.83017080394706,"ADM;CACNA1S"
"Chemical carcinogenesis","3/239",0.257151561158964,0.670768555359376,0,0,1.73172669491525,2.35184007635849,"BCL6;CACNA1S;FGF3"
"Ferroptosis","1/41",0.261228244193991,0.670768555359376,0,0,3.39263698630137,4.55414274631549,"HMOX1"
"Systemic lupus erythematosus","2/135",0.261356888235998,0.670768555359376,0,0,2.04511278195489,2.74427225295562,"H2AC6;H2BC4"
"Fat digestion and absorption","1/43",0.272070677618388,0.670768555359376,0,0,3.23075668623614,4.20545466276333,"ABCA1"
"Porphyrin and chlorophyll metabolism","1/43",0.272070677618388,0.670768555359376,0,0,3.23075668623614,4.20545466276333,"HMOX1"
"Measles","2/139",0.272249206421306,0.670768555359376,0,0,1.98499874150516,2.582557665296,"TNFAIP3;IL2RG"
"Apoptosis","2/142",0.280415900515658,0.670768555359376,0,0,1.94216748768473,2.4694298729496,"DDIT3;BIRC3"
"Alzheimer disease","4/369",0.287732898073919,0.670768555359376,0,0,1.49347638662707,1.86045738659266,"DDIT3;CACNA1S;COX6B2;DKK1"
"Type II diabetes mellitus","1/46",0.288038681263552,0.670768555359376,0,0,3.01491628614916,3.7525472059118,"CACNA1E"
"Retrograde endocannabinoid signaling","2/148",0.296726502891861,0.670768555359376,0,0,1.86178554558337,2.26196597868572,"CACNA1S;MGLL"
"Adrenergic signaling in cardiomyocytes","2/150",0.302152767952633,0.670768555359376,0,0,1.83643988816403,2.19789264298972,"CACNB1;CACNA1S"
"Sphingolipid metabolism","1/49",0.303658737899177,0.670768555359376,0,0,2.82605593607306,3.36823697408547,"SPTLC3"
"Cocaine addiction","1/49",0.303658737899177,0.670768555359376,0,0,2.82605593607306,3.36823697408547,"FOSB"
"Cholesterol metabolism","1/50",0.308789408252086,0.672071065019245,0,0,2.76824154319262,3.25294890316625,"ABCA1"
"Non-alcoholic fatty liver disease","2/155",0.315685865867146,0.677123306497646,0,0,1.77597475771918,2.04771249107949,"DDIT3;COX6B2"
"Prion disease","3/273",0.325095223419772,0.687344186658947,0,0,1.51103395061728,1.69785387340738,"DDIT3;CACNA1S;COX6B2"
"Hippo signaling pathway","2/163",0.337212419522144,0.697344683947523,0,0,1.68704219318912,1.83388609464568,"SNAI2;BIRC3"
"Glutathione metabolism","1/57",0.343667909489859,0.697344683947523,0,0,2.42135518590998,2.5861997570563,"CHAC1"
"Wnt signaling pathway","2/166",0.34523542239534,0.697344683947523,0,0,1.65592935239697,1.76112840951957,"PORCN;DKK1"
