"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"TNF-alpha Signaling via NF-kB","15/200",2.19131436555664e-11,8.76525746222655e-10,0,0,12.0810810810811,296.517262649173,"ABCA1;PPP1R15A;CSF2;LAMB3;TNC;TNFAIP3;INHBA;F3;RCAN1;BCL6;FOSB;CCN1;SGK1;ATF3;BIRC3"
"Epithelial Mesenchymal Transition","12/200",2.96113761827174e-08,5.92227523654348e-07,0,0,9.29787234042553,161.179613929435,"SERPINE2;CADM1;COL5A1;COL5A3;CDH11;TNC;SNAI2;TNFAIP3;TNFRSF11B;INHBA;CCN1;DKK1"
"Hypoxia","10/200",2.31163062641907e-06,2.31163062641907e-05,0,0,7.55397618132924,98.0321593673762,"PPP1R15A;COL5A1;DDIT3;STC2;HMOX1;TNFAIP3;ADM;CCN1;F3;ATF3"
"Inflammatory Response","10/200",2.31163062641907e-06,2.31163062641907e-05,0,0,7.55397618132924,98.0321593673762,"ABCA1;HRH1;LAMP3;RGS16;IL10RA;ADM;CCR7;INHBA;F3;CD55"
"p53 Pathway","8/200",0.000118265433918638,0.000788436226124252,0,0,5.89358513189448,53.2932092645594,"PPP1R15A;DDIT3;RGS16;TCHH;HMOX1;TRIB3;UPP1;ATF3"
"KRAS Signaling Up","8/200",0.000118265433918638,0.000788436226124252,0,0,5.89358513189448,53.2932092645594,"PPP1R15A;CSF2;RGS16;IL10RA;TNFAIP3;INHBA;IL2RG;BIRC3"
"Complement","6/200",0.0036557539531386,0.0208900225893634,0,0,4.31212985303795,24.1973136859716,"CDA;KCNIP3;TNFAIP3;HPCAL4;F3;CD55"
"UV Response Up","5/158",0.00627970610261853,0.0301692402704371,0,0,4.5337383779803,22.9880125981086,"TCHH;SLC6A12;HMOX1;FOSB;ATF3"
"Apoptosis","5/161",0.00678807906084835,0.0301692402704371,0,0,4.44587396171903,22.1964138098963,"ANXA1;DDIT3;HMOX1;ATF3;BIRC3"
"Unfolded Protein Response","4/113",0.00972073738711278,0.0388829495484511,0,0,5.06678642458459,23.476923486849,"STC2;DNAJB9;CHAC1;ATF3"
"Adipogenesis","5/200",0.0162263133118003,0.0540877110393344,0,0,3.5496569158541,14.6285659283224,"ABCA1;BCL6;HSPB8;DNAJB9;MGLL"
"Estrogen Response Early","5/200",0.0162263133118003,0.0540877110393344,0,0,3.5496569158541,14.6285659283224,"CYP26B1;STC2;HSPB8;KRT13;SYBU"
"UV Response Dn","4/144",0.0218154106731969,0.0671243405329135,0,0,3.93866133866134,15.0659257052063,"SNAI2;CCN1;F3;MGLL"
"IL-6/JAK/STAT3 Signaling","3/87",0.0263328190326828,0.0752366258076653,0,0,4.90302579365079,17.8320069319923,"CSF2;HMOX1;IL2RG"
"Apical Surface","2/44",0.0415133012372833,0.100515968064766,0,0,6.50607553366174,20.7006498207443,"PKHD1;IL2RG"
"PI3K/AKT/mTOR  Signaling","3/105",0.0423782796644467,0.100515968064766,0,0,4.03410947712418,12.7523014073959,"DDIT3;TRIB3;IL2RG"
"TGF-beta Signaling","2/54",0.0599054451160512,0.100515968064766,0,0,5.25225464190981,14.7850331310371,"PPP1R15A;NOG"
"Estrogen Response Late","4/200",0.0603095808388597,0.100515968064766,0,0,2.80533751962323,7.87812921044709,"CYP26B1;HSPB8;KRT13;SGK1"
"Myogenesis","4/200",0.0603095808388597,0.100515968064766,0,0,2.80533751962323,7.87812921044709,"ACHE;STC2;HSPB8;IFRD1"
"Interferon Gamma Response","4/200",0.0603095808388597,0.100515968064766,0,0,2.80533751962323,7.87812921044709,"IL10RA;SECTM1;TNFAIP3;UPP1"
"Apical Junction","4/200",0.0603095808388597,0.100515968064766,0,0,2.80533751962323,7.87812921044709,"LAMB3;ITGA10;CDH11;TNFRSF11B"
"mTORC1 Signaling","4/200",0.0603095808388597,0.100515968064766,0,0,2.80533751962323,7.87812921044709,"PPP1R15A;DDIT3;IFRD1;TRIB3"
"Xenobiotic Metabolism","4/200",0.0603095808388597,0.100515968064766,0,0,2.80533751962323,7.87812921044709,"CDA;SLC6A12;HMOX1;UPP1"
"Allograft Rejection","4/200",0.0603095808388597,0.100515968064766,0,0,2.80533751962323,7.87812921044709,"ACHE;IL11;INHBA;IL2RG"
"Coagulation","3/138",0.0816287161532562,0.13060594584521,0,0,3.0429012345679,7.62421472082073,"ANXA1;CRIP2;F3"
"Cholesterol Homeostasis","2/74",0.102990059817895,0.158446245873684,0,0,3.78946360153257,8.61391612011378,"TRIB3;ATF3"
"Androgen Response","2/100",0.167467830513668,0.243328170262646,0,0,2.78043631245602,4.96853960242873,"DNAJB9;SGK1"
"Pperoxisome","2/104",0.177932234931163,0.243328170262646,0,0,2.67085868830291,4.61084358387338,"HSD3B7;CADM1"
