"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"extracellular matrix organization (GO:0030198)","58/300",2.4189083036133e-13,8.86288002443914e-10,0,0,3.41756342383059,99.2812081617836,"COL16A1;ITGB4;SERPINE1;ITGB2;SCX;LOXL4;PLOD2;LOXL2;MMP24;ADAMTSL5;CAPNS2;ADAMTSL4;CDH1;ITGB8;ITGB7;TPSAB1;COL27A1;VWF;ITGA3;MMP2;LOX;COL4A4;COL6A2;MMP17;ADAM12;COL4A3;COL8A2;PECAM1;MMP19;COL6A3;ITGA5;GAS6;MATN3;DDR2;COL17A1;LAMA3;PDGFB;PDGFA;NDNF;THBS1;SCUBE3;SPOCK2;HAS2;TGFB2;GSN;LAMB3;LAMB2;COLQ;COL1A1;MFAP5;COL5A1;P4HA1;P4HA2;COL5A3;ITGA10;COL7A1;COL20A1;TGFBI"
"extracellular structure organization (GO:0043062)","44/216",3.12861391863696e-11,4.48627183823113e-08,0,0,3.62236478659895,87.6172014473049,"COL17A1;COL16A1;ITGB4;SERPINE1;ITGB2;LAMA3;PDGFB;PDGFA;NDNF;THBS1;MMP24;ADAMTSL5;ADAMTSL4;CDH1;SPOCK2;ITGB8;ITGB7;COL27A1;VWF;LAMB3;ITGA3;LAMB2;MMP2;COLQ;COL1A1;MFAP5;LOX;COL5A1;COL4A4;COL5A3;ITGA10;COL6A2;COL7A1;MMP17;ADAM12;COL4A3;COL8A2;PECAM1;MMP19;COL6A3;TGFBI;ITGA5;MATN3;DDR2"
"external encapsulating structure organization (GO:0045229)","44/217",3.67325750946872e-11,4.48627183823113e-08,0,0,3.60123136890129,86.5280722796412,"COL17A1;COL16A1;ITGB4;SERPINE1;ITGB2;LAMA3;PDGFB;PDGFA;NDNF;THBS1;MMP24;ADAMTSL5;ADAMTSL4;CDH1;SPOCK2;ITGB8;ITGB7;COL27A1;VWF;LAMB3;ITGA3;LAMB2;MMP2;COLQ;COL1A1;MFAP5;LOX;COL5A1;COL4A4;COL5A3;ITGA10;COL6A2;COL7A1;MMP17;ADAM12;COL4A3;COL8A2;PECAM1;MMP19;COL6A3;TGFBI;ITGA5;MATN3;DDR2"
"regulation of cell migration (GO:0030334)","64/408",2.02535529302656e-10,1.85522544841233e-07,0,0,2.65054746176817,59.1604997518602,"SEMA5A;PTPRU;ROBO4;SERPINE2;CITED2;SERPINE1;LDLRAD4;FGF1;CLDN1;VSIR;IGF1R;SHH;DUSP10;CDH1;PLAU;FAM110C;TMSB4X;CCN1;PDGFRB;EDN1;ANXA1;IGFBP5;LIMCH1;SEMA6D;TPM1;NOG;F3;CEACAM6;PECAM1;MYADM;SGK1;HBEGF;CAMK2B;GRB7;PDGFB;PDGFA;STC1;NEDD9;NEXN;THBS1;PARD6B;PDGFC;NTF3;TP53INP1;MGAT3;HAS2;DRD2;PLXNA4;SASH1;NGFR;SEMA4A;NTNG2;TCAF2;SEMA4B;CAV1;SORL1;VEGFA;COL1A1;KRT16;PLXNB3;SNAI2;AMOTL2;LGR6;CCL26"
"collagen fibril organization (GO:0030199)","25/89",5.38038828474418e-10,3.94274853506053e-07,0,0,5.48379673338369,117.041169341722,"COL17A1;COL16A1;ITGB4;LAMA3;LOXL4;SCX;PLOD2;LOXL2;TGFB2;COL27A1;LAMB3;COL1A1;LOX;COL5A1;P4HA1;P4HA2;COL4A4;COL6A2;COL5A3;COL7A1;COL4A3;COL8A2;COL20A1;COL6A3;DDR2"
"regulation of smooth muscle cell migration (GO:0014910)","10/20",1.86471459601421e-07,0.000113871904663268,0,0,13.9215832710978,215.714760731609,"PDGFRB;IGFBP5;LRP1;PLAU;IGFBP3;SERPINE1;PDGFB;PDGFA;CCN4;SORL1"
"supramolecular fiber organization (GO:0097435)","47/351",5.27777261195394e-06,0.0024865990983102,0,0,2.17860427277872,26.4744130725149,"COL17A1;COL16A1;ITGB4;AVIL;LAMA3;LMOD1;TCHH;SCX;LOXL4;PLOD2;RND3;LOXL2;SAMD14;EFEMP2;CALB1;XIRP1;TGFB2;GSN;COL27A1;LAMB3;TPM1;MYO7B;SORL1;CCDC88B;COL1A1;TPPP3;MARCKS;BFSP1;LOX;COL5A1;P4HA1;P4HA2;MYO15A;COL4A4;COL5A3;TRPV4;COL6A2;COL7A1;CLIP4;COL4A3;COL8A2;CORO6;COL20A1;COL6A3;TGFBI;DDR2;LTF"
"positive regulation of cell motility (GO:2000147)","34/221",5.42925567316637e-06,0.0024865990983102,0,0,2.55292084341514,30.9508681551261,"SEMA5A;GRB7;PDGFB;PDGFA;NEDD9;FGF1;CLDN1;THBS1;VSIR;IGF1R;PLAU;FAM110C;SPOCK2;PDGFC;NTF3;HAS2;CCN1;PDGFRB;TCAF2;SEMA4A;EDN1;SEMA6D;CAV1;SEMA4B;F3;VEGFA;COL1A1;CEACAM6;MYADM;PECAM1;SNAI2;LGR6;HBEGF;CCL26"
"positive regulation of angiogenesis (GO:0045766)","22/116",8.81350317176447e-06,0.00335754445256523,0,0,3.27289198159342,38.0939280112439,"SEMA5A;BTG1;CXCL8;TIE1;SERPINE1;FGF1;KLF4;ETS1;F3;THBS1;PGF;PIK3R6;HK2;AQP1;VEGFA;ADAM12;ITGB8;ANGPTL4;ITGA5;CD34;CCR3;SASH1"
"regulation of protein kinase B signaling (GO:0051896)","32/207",9.16360385525446e-06,0.00335754445256523,0,0,2.56527606031023,29.7578975475744,"SEMA5A;IRS1;PDGFB;PDGFA;TGFA;IRS2;GATA3;LRP2;FGF1;AREG;THBS1;PIK3R5;IGF1R;PKHD1;FAM110C;DRD2;XDH;PDGFRB;KL;PLEKHA1;AKR1C3;PPP2R5B;NRG1;GAB2;F3;EREG;AXL;LCK;NRG4;DDIT3;GAS6;HBEGF"
"positive regulation of vasculature development (GO:1904018)","20/102",1.33201084088097e-05,0.00443680701907989,0,0,3.40784378498412,38.2572577433273,"SEMA5A;BTG1;CXCL8;TIE1;SERPINE1;FGF1;ETS1;F3;THBS1;PGF;PIK3R6;HK2;AQP1;VEGFA;ADAM12;ITGB8;ANGPTL4;CD34;CCR3;SASH1"
