"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Focal adhesion","33/201",1.75115418285021e-06,0.000481567400283809,0,0,2.75880644811116,36.5686290427419,"SHC2;ITGB4;LAMA3;PDGFB;PDGFA;THBS1;IGF1R;THBS3;PDGFC;ITGB8;ITGB7;FLNC;PDGFRB;JUN;VWF;LAMB3;CAV2;ITGA3;LAMB2;CAV1;PGF;VEGFA;COL1A1;MYL2;COL4A4;ITGA10;COL6A2;COL4A3;COL6A3;ITGA5;MYL9;BIRC2;BIRC3"
"ECM-receptor interaction","19/88",5.03059238277131e-06,0.000691706452631055,0,0,3.8472049689441,46.9357960188939,"VWF;SDC4;LAMB3;ITGB4;ITGA3;LAMB2;LAMA3;THBS1;THBS3;COL1A1;SV2C;COL4A4;COL6A2;ITGA10;COL4A3;ITGB8;COL6A3;ITGB7;ITGA5"
"PI3K-Akt signaling pathway","44/354",6.4975112943505e-05,0.00595605201982129,0,0,1.99481893461871,19.2330592041553,"IRS1;ITGB4;LAMA3;LPAR1;PDGFB;PDGFA;TGFA;FGF1;EFNA5;IL2RG;AREG;THBS1;PIK3R6;PIK3R5;IGF1R;THBS3;NTF4;GNGT2;PDGFC;NTF3;ITGB8;ITGB7;JAK3;PDGFRB;NGFR;VWF;LAMB3;ITGA3;LAMB2;PPP2R5B;PPP2R3A;PGF;EPOR;EREG;VEGFA;COL1A1;COL4A4;ITGA10;COL6A2;DDIT4;COL4A3;COL6A3;ITGA5;SGK1"
"Hypertrophic cardiomyopathy","17/90",9.4622596601323e-05,0.00650530351634095,0,0,3.24803570693982,30.0950459168374,"EDN1;TGFB2;ITGB4;ITGA3;TPM1;CACNA1D;CACNA1F;CACNB1;CACNG6;CACNG8;MYL2;TNNT2;ITGA10;ITGB8;ITGB7;ITGA5;CACNG4"
"Protein digestion and absorption","18/103",0.000168868550759979,0.00928777029179884,0,0,2.95388694921996,25.6586139145854,"COL17A1;SLC15A1;COL16A1;COL27A1;SLC1A1;ATP1A2;ATP1B1;COL1A1;COL5A1;COL4A4;COL5A3;COL6A2;COL7A1;COL4A3;COL8A2;COL20A1;COL6A3;KCNN4"
"Dilated cardiomyopathy","16/96",0.000656877431005,0.0301068822543958,0,0,2.78634658664666,20.4183843312084,"TGFB2;ITGB4;ITGA3;TPM1;CACNA1D;CACNA1F;CACNB1;CACNG6;CACNG8;MYL2;TNNT2;ITGA10;ITGB8;ITGB7;ITGA5;CACNG4"
"Complement and coagulation cascades","14/85",0.00156831740785004,0.0616124695941086,0,0,2.74431608376853,17.7221125388039,"SERPINA1;VWF;C1S;PROS1;ITGB2;SERPINE1;PLAUR;F13A1;PLAT;F3;C3;PLAU;SERPING1;CD55"
"Thiamine metabolism","5/15",0.00235009673339992,0.0807845752106223,0,0,6.93489583333333,41.9789965464592,"ALPP;ALPL;AK4;AK5;ALPG"
"Cytokine-cytokine receptor interaction","33/295",0.0029786766028109,0.0910151184192221,0,0,1.76000893292188,10.2366980157515,"IL1RN;CSF2;CXCL8;EBI3;CSF2RB;CXCR6;IL1RAP;IL2RG;CXCL2;CCL2;CCR3;IL32;NGFR;IL11;TGFB2;IL15;CD70;IL10RA;TNFRSF9;BMP8A;BMP8B;INHBB;INHBA;IL17RB;EPOR;BMP4;IL23A;TNFSF9;ACKR3;INHA;CCL28;IL17C;CCL26"
"MAPK signaling pathway","32/294",0.00515193206169052,0.124435606414786,0,0,1.70537944785454,8.9845929051787,"PDGFB;PDGFA;TGFA;CACNA1D;IL1RAP;FGF1;CACNA1F;EFNA5;AREG;CACNA1H;IGF1R;CACNA1G;NTF4;CACNG6;CACNA1I;CACNG8;DUSP10;PDGFC;NTF3;FLNC;CACNG4;PDGFRB;NGFR;JUN;TGFB2;GADD45B;PLA2G4C;PGF;EREG;VEGFA;CACNB1;DDIT3"
"Arrhythmogenic right ventricular cardiomyopathy","12/77",0.00523952223170999,0.124435606414786,0,0,2.56638858523675,13.4774537174617,"CACNB1;CACNG6;CACNG8;ITGB4;ITGA3;ITGA10;ITGB8;ITGB7;CACNA1D;ITGA5;CACNA1F;CACNG4"
"Bladder cancer","8/41",0.00542991737082704,0.124435606414786,0,0,3.36573791607349,17.5551213799754,"CXCL8;CDH1;DAPK1;DAPK2;MMP2;THBS1;VEGFA;HBEGF"
"GnRH secretion","10/64",0.010164743708095,0.215023424594318,0,0,2.57198572732553,11.8024053818729,"KISS1;CACNA1I;GABBR2;KISS1R;KCNN1;CACNA1D;CACNA1F;KCNN4;CACNA1H;CACNA1G"
"Adrenergic signaling in cardiomyocytes","18/150",0.0124004505686748,0.243580279027542,0,0,1.89730892698586,8.32922882360812,"CAMK2B;TPM1;PPP2R5B;CACNA1D;ATP1A2;PPP2R3A;ATP1B1;CACNA1F;ADRA1B;PIK3R6;PIK3R5;CACNB1;CACNG6;CACNG8;MYL2;TNNT2;SCN4B;CACNG4"
"Cardiac muscle contraction","12/87",0.0136703502784646,0.250623088438518,0,0,2.22300673148841,9.54231420352099,"CACNB1;CACNG6;CACNG8;MYL2;TNNT2;TPM1;ATP1A2;CACNA1D;ATP1B1;COX6B2;CACNA1F;CACNG4"
"Malaria","8/50",0.017887391351416,0.307439538852463,0,0,2.6432299989347,10.6354567243739,"TGFB2;CXCL8;LRP1;ITGB2;PECAM1;CCL2;THBS1;THBS3"
"Transcriptional misregulation in cancer","21/192",0.0195882773898329,0.316869193070826,0,0,1.70894102726696,6.72096425932788,"NGFR;CSF2;CXCL8;GADD45B;IGFBP3;PDGFA;PLAT;TRAF1;IGF1R;BAIAP3;MAF;MYCN;NR4A3;BCL6;PAX8;PLAU;DDIT3;ITGB7;CDK14;BIRC2;BIRC3"
"Fluid shear stress and atherosclerosis","16/139",0.0251870108873534,0.383907963799524,0,0,1.80806177154045,6.6562471672654,"MEF2A;JUN;EDN1;SDC4;NCF2;CAV2;CAV1;MMP2;PDGFB;PDGFA;PLAT;VEGFA;BMP4;TRPV4;PECAM1;CCL2"
"Folate biosynthesis","5/26",0.0277925934460423,0.383907963799524,0,0,3.30038265306122,11.8252239051887,"ALPP;AKR1C3;AKR1B1;ALPL;ALPG"
"Herpes simplex virus 1 infection","45/498",0.0279205791854199,0.383907963799524,0,0,1.386310080039,4.96075986968027,"ZNF550;ZNF175;ZNF230;ZNF571;ZNF790;ZNF470;ZNF44;ZNF45;C3;ZNF709;ZNF606;ZNF846;ZNF404;CCL2;ZNF425;ZNF226;ZNF841;ZNF224;ZNF763;ZNF223;ZNF222;ZNF442;ZNF563;ZNF221;ZNF540;ZNF583;ZNF582;ZNF284;ZNF160;POU2F2;POU2F3;ZNF836;ZNF878;ZNF713;ZNF699;ITGA5;ZNF577;ZNF136;ZNF114;ZNF433;ZNF432;BIRC2;ZNF233;BIRC3;ZFP28"
"HIF-1 signaling pathway","13/109",0.031830625393119,0.416829618243226,0,0,1.8807307260479,6.48349266432605,"CAMK2B;EDN1;EGLN3;PFKFB3;SERPINE1;SLC2A1;ENO2;HK2;IGF1R;VEGFA;HKDC1;PGK1;PDK1"
"AGE-RAGE signaling pathway in diabetic complications","12/100",0.0366434772339592,0.454236002317287,0,0,1.8932821105596,6.26017486318631,"COL1A1;JUN;TGFB2;EDN1;CXCL8;COL4A4;MMP2;SERPINE1;COL4A3;CCL2;F3;VEGFA"
"Axon guidance","19/182",0.0385599141916254,0.454236002317287,0,0,1.62033304119194,5.27506232559195,"SEMA5A;CAMK2B;NTNG2;SEMA4A;UNC5A;SEMA6D;SEMA4B;NTN4;EFNA5;L1CAM;SHH;PARD6B;ABLIM2;ABLIM3;DPYSL2;PLXNB3;MYL9;PLXNA4;EPHB3"
"Neomycin, kanamycin and gentamicin biosynthesis","2/5",0.0396424147476905,0.454236002317287,0,0,9.2293986636971,29.7911666636121,"HKDC1;HK2"
"Cell adhesion molecules","16/148",0.0416362987864514,0.457999286650965,0,0,1.68396644615699,5.35296378565051,"NTNG2;SDC4;CADM1;ITGB2;L1CAM;CLDN1;VSIR;SPN;CDH1;CLDN9;PECAM1;ITGB8;ITGB7;NCAM1;CDH15;CD34"
"Rheumatoid arthritis","11/93",0.0482376970860495,0.496257766557216,0,0,1.8617065879179,5.64397662409299,"IL11;JUN;TGFB2;CSF2;CXCL8;IL15;IL23A;ITGB2;CCL2;CXCL2;VEGFA"
"Hippo signaling pathway","17/163",0.0487234898074358,0.496257766557216,0,0,1.61763647208853,4.88784070397819,"TGFB2;WNT10A;SERPINE1;ITGB2;BMP8A;BMP8B;FGF1;WTIP;AREG;BMP4;PARD6B;CDH1;SNAI2;CCN2;AJUBA;BIRC2;BIRC3"
"Oxytocin signaling pathway","16/154",0.0561833071943658,0.551800338516093,0,0,1.61022864411755,4.63606659927181,"CAMK2B;KCNJ4;JUN;CAMK1D;KCNJ12;PLA2G4C;CACNA1D;CACNA1F;PIK3R6;PIK3R5;CACNB1;CACNG6;RCAN1;CACNG8;MYL9;CACNG4"
"FoxO signaling pathway","14/131",0.0585510924042969,0.555225876247643,0,0,1.66123115336598,4.71433401764894,"CDKN2D;GABARAPL1;TGFB2;GADD45B;IRS1;PLK2;IRS2;IGF1R;BCL6;CCNG2;S1PR1;SGK1;S1PR4;RAG1"
