"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Hypoxia","66/200",1.25202480452077e-28,6.13492154215178e-27,0,0,7.10858412535917,456.70961531655,"ERRFI1;BTG1;CITED2;GBE1;SERPINE1;SLC2A1;TNFAIP3;ADM;PYGM;IRS2;RORA;SLC2A3;ENO2;ETS1;HK2;ZFP36;CCN2;CCN1;PPFIA4;PDK1;TGM2;IGFBP1;BNIP3L;EDN2;IGFBP3;PLAUR;F3;PGF;PPP1R3C;LOX;DDIT3;DDIT4;ANGPTL4;ATF3;TMEM45A;PPP1R15A;KDM3A;PFKFB3;SDC4;PDGFB;STC1;AK4;NDRG1;NFIL3;STC2;MXI1;PGK1;PPARGC1A;ANKZF1;JUN;CAVIN3;CAV1;PNRC1;FOSL2;VEGFA;ISG20;KLF6;P4HA1;COL5A1;P4HA2;CCNG2;BHLHE40;MAFF;ACKR3;TGFBI;INHA"
"TNF-alpha Signaling via NF-kB","54/200",4.06007627191653e-19,6.631457910797e-18,0,0,5.28518538107579,223.816581315428,"BTG1;CSF2;SERPINE1;TNFAIP3;IRS2;SLC2A3;AREG;CXCL2;ZFP36;PLAU;SLC16A6;OLR1;PMEPA1;CCN1;PHLDA1;KDM6B;EDN1;PLAUR;TRAF1;F3;IL23A;SGK1;ATF3;BIRC2;HBEGF;BIRC3;PPP1R15A;PFKFB3;SDC4;NFIL3;CCL2;ABCA1;JUN;GADD45B;LAMB3;PLK2;TNFRSF9;INHBA;KLF4;PNRC1;FOSL2;VEGFA;NR4A2;RCAN1;KLF6;MARCKS;NR4A3;BCL6;TNIP1;MAFF;BHLHE40;TNFSF9;FOSB;ACKR3"
"Epithelial Mesenchymal Transition","54/200",4.06007627191653e-19,6.631457910797e-18,0,0,5.28518538107579,223.816581315428,"COL16A1;CXCL8;SERPINE2;SERPINE1;TNFAIP3;PLOD2;ENO2;AREG;LOXL2;EFEMP2;TIMP3;PMEPA1;CCN2;CCN1;TGM2;PDGFRB;IL15;IGFBP3;MMP2;TPM1;PLAUR;PCOLCE;DKK1;LOX;COL6A2;ADAM12;CDH11;COL8A2;COL6A3;ITGA5;MYL9;MATN3;MATN2;TAGLN;SDC4;LRP1;NTM;LAMA3;FSTL1;THBS1;NT5E;IL32;JUN;GADD45B;CADM1;INHBA;VEGFA;COL1A1;MFAP5;COL5A1;COL5A3;COL7A1;SNAI2;TGFBI"
"KRAS Signaling Up","36/200",5.71708376641151e-08,7.0034276138541e-07,0,0,3.09072501996916,51.5447069887197,"PPP1R15A;SPON1;CSF2;RGS16;ITGB2;F13A1;TNFAIP3;PLAT;PRDM1;IL2RG;ETS1;PCSK1N;PLAU;KCNN4;TSPAN1;GALNT3;IL10RA;IGFBP3;LAPTM5;PLAUR;EMP1;INHBA;TRAF1;KLF4;EREG;CLEC4A;TMEM158;MYCN;MAFB;TNNT2;HKDC1;PECAM1;ANGPTL4;TRIB2;HBEGF;BIRC3"
"Glycolysis","33/200",1.5630088024619e-06,1.53174862641266e-05,0,0,2.77547640281746,37.1050605830933,"GAL3ST1;CITED2;TGFA;STC1;PLOD2;IRS2;AK4;ENO2;CACNA1H;HK2;NT5E;STC2;MXI1;PGK1;PPFIA4;ANKZF1;EGLN3;IGFBP3;SPAG4;VEGFA;ISG20;P4HA1;COL5A1;ELF3;CLDN9;ARTN;P4HA2;DDIT4;B3GNT3;CHST1;ANG;ANGPTL4;TGFBI"
"Myogenesis","32/200",4.3916373200436e-06,3.07414612403052e-05,0,0,2.67317496474672,32.9757742772047,"CAMK2B;ACHE;TAGLN;ITGB4;HSPB8;PYGM;CACNA1H;CNN3;STC2;NCAM1;ANKRD2;PPFIA4;EPHB3;KCNH1;MEF2A;GSN;GADD45B;GPX3;DAPK2;IGFBP3;COL1A1;PPP1R3C;TNNT1;MYL2;TNNT2;COL6A2;ADAM12;BHLHE40;COL6A3;MAPRE3;CRYAB;HBEGF"
"Inflammatory Response","32/200",4.3916373200436e-06,3.07414612403052e-05,0,0,2.67317496474672,32.9757742772047,"CXCL8;RGS16;SERPINE1;EBI3;LPAR1;ADM;CXCR6;PIK3R5;GPR132;LAMP3;OLR1;HAS2;ITGB8;CCL2;CD55;ABCA1;EDN1;IL15;CD70;IL10RA;TNFRSF9;PLAUR;INHBA;F3;EREG;RNF144B;KLF6;AXL;LCK;TNFSF9;ITGA5;HBEGF"
"Estrogen Response Early","31/200",1.19026969945923e-05,7.2904019091878e-05,0,0,2.57222257140548,29.1657772231066,"CLIC3;SLC24A3;TMPRSS3;HSPB8;SLC1A1;SLC2A1;ABAT;AREG;TOB1;IGF1R;CYP26B1;MUC1;STC2;ALDH3B1;SYBU;TGM2;TFAP2C;ZNF185;MYOF;KRT13;INHBB;GAB2;KLF4;KLK10;IL17RB;ELF3;SYT12;KRT15;SCNN1A;BHLHE40;RAB17"
"Coagulation","24/138",1.63287741082147e-05,8.89011034780578e-05,0,0,2.94530287984111,32.4648416941544,"SERPINA1;ANXA1;GSN;VWF;C1S;LRP1;GDA;PROS1;MMP2;SERPINE1;PDGFB;PLAT;CRIP2;F3;THBS1;DUSP14;C3;PLAU;MAFF;PECAM1;SERPING1;OLR1;TIMP3;ANG"
"Apical Junction","28/200",0.00018942869361285,0.000928200598702966,0,0,2.27722127352429,19.5191973439434,"COL17A1;GRB7;COL16A1;IRS1;ITGB4;AMIGO2;LAMA3;NEXN;ADRA1B;THBS3;CDH1;FLNC;PCDH1;CD34;CDSN;VWF;LAMB3;ITGA3;MMP2;TRAF1;CLDN9;ITGA10;CDH11;PECAM1;TGFBI;CDH15;NECTIN4;MYL9"
"Apoptosis","23/161",0.00051136906718959,0.00227791675384454,0,0,2.32692307692308,17.6343980192156,"PDGFRB;BNIP3L;JUN;TGFB2;ANXA1;GSN;GADD45B;GPX3;CAV1;MMP2;PLPPR4;PPP2R5B;EMP1;NEDD9;PLAT;ENO2;EREG;ISG20;DDIT3;TXNIP;TIMP3;ATF3;BIRC3"
"IL-2/STAT5 Signaling","26/199",0.000915302740363219,0.00373748618981648,0,0,2.09904796857728,14.6854762803649,"ITIH5;CSF2;AHNAK;RGS16;RORA;SLC2A3;NDRG1;HK2;IGF1R;NT5E;MUC1;NFIL3;MAP6;PHLDA1;TGM2;GABARAPL1;GADD45B;IL10RA;TNFRSF9;EMP1;TRAF1;KLF6;P4HA1;BHLHE40;MAFF;PLPP1"
"UV Response Dn","19/144",0.00377950683733139,0.0125542579329519,0,0,2.11725714285714,11.8104027968703,"PDGFRB;IGFBP5;IRS1;CITED2;CAV1;CELF2;SERPINE1;LPAR1;SYNJ2;RND3;F3;IGF1R;COL1A1;MAP1B;BHLHE40;SNAI2;HAS2;CCN1;MGLL"
"Estrogen Response Late","24/200",0.00435555887469761,0.0125542579329519,0,0,1.90137221269297,10.3364342232852,"TFAP2C;CLIC3;SERPINA1;SLC24A3;TMPRSS3;CAV1;HSPB8;MYOF;KRT13;KLF4;AREG;KLK10;TOB1;IL17RB;ISG20;ZFP36;CYP26B1;GJB3;CDH1;ALDH3B1;SCNN1A;TPSAB1;SGK1;LTF"
"Complement","24/200",0.00435555887469761,0.0125542579329519,0,0,1.90137221269297,10.3364342232852,"CDA;SERPINA1;C1S;LRP1;KCNIP3;SERPINE1;PDGFB;PLAUR;TNFAIP3;PLAT;GATA3;HPCAL4;F3;PIK3R5;C3;GNGT2;LCK;SPOCK2;MAFF;SERPING1;OLR1;ANG;CD55;LTF"
"p53 Pathway","24/200",0.00435555887469761,0.0125542579329519,0,0,1.90137221269297,10.3364342232852,"TSPYL2;PPP1R15A;JUN;BTG1;ITGB4;PLK2;RGS16;TCHH;PDGFA;TGFA;ABAT;INHBB;KLF4;NDRG1;TOB1;TM4SF1;DDIT3;DDIT4;TXNIP;TNFSF9;UPP1;ATF3;HBEGF;MXD4"
"KRAS Signaling Dn","24/200",0.00435555887469761,0.0125542579329519,0,0,1.90137221269297,10.3364342232852,"EDN1;TGFB2;ITIH3;EDN2;THRB;CAMK1D;KRT4;SHOX2;KRT13;ALOX12B;CACNA1F;UPK3B;LFNG;NR4A2;TG;NPHS1;MYO15A;KRT15;NTF3;KCNN1;TFF2;EFHD1;SYNPO;SGK1"
"Hedgehog Signaling","7/36",0.00927542910232284,0.02524977922299,0,0,3.34945269541086,15.6767328670178,"ACHE;SHH;TLE1;DPYSL2;CRMP1;L1CAM;VEGFA"
"Apical Surface","7/44",0.0267239175238446,0.0689195767720202,0,0,2.62411890280743,9.50507385173853,"PKHD1;SLC34A3;ATP8B1;PLAUR;GATA3;EFNA5;IL2RG"
"Angiogenesis","6/36",0.0317822101223525,0.0778664147997637,0,0,2.77304542069993,9.56381374994863,"SLCO2A1;STC1;PDGFA;OLR1;FSTL1;VEGFA"
"mTORC1 Signaling","20/200",0.050298349533632,0.117362815578475,0,0,1.54426887383998,4.61702884939522,"NIBAN1;PPP1R15A;EGLN3;IGFBP5;GBE1;ITGB2;SLC2A1;STC1;SLA;PLOD2;AK4;SLC2A3;HK2;NFIL3;P4HA1;DDIT3;DDIT4;BHLHE40;PGK1;PDK1"
"Cholesterol Homeostasis","9/74",0.0603918728173339,0.134509171274971,0,0,1.9204822043628,5.3906029188529,"NIBAN1;ERRFI1;NFIL3;TP53INP1;PLAUR;ANTXR2;CPEB2;ATF3;PNRC1"
